stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,41.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,13.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.78,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.66,0,0,0,0,0,0,0,0,0,0,6.21,0,0,0,0,0,0,0,0,0,0,0,78.79,6.24,0,0,9.36,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.56,1.23,0,3.41,0,0,0,4.49,0,0,0,0,0,0,0,0,0,6.36,0,0,8.65,59.37,4.71,0,0,0,0,0,0,2.76,0,8.34,95.53,0,0,0,0,0
 24-34,0,0,1.51,1.96,0,0,14.09,0,0.66,2.14,33.2,0.68,0,1.45,0,0,0,0,1.51,0,50.39,0,0,27.3,238.83,7.98,13.87,0,0,0,0,0,0,2.45,1.5,178.47,0,0,1.25,0,3.57
 36-46,0,0,0,38.41,0,0,27.6,4.6,0,3.79,43.87,0,0,0,1.3,0,0,0,0,0.61,87.12,0,1.67,24.06,285.86,5.73,14.15,0,0,0,0,0.81,0,9.76,0.61,153.86,0,0,3.42,0,0
 48-58,0,0,0,2.11,0,0,24.27,4.38,0.51,2.11,59.89,0,0,0.82,0,0.38,0.38,0,0,4.93,119.35,0,2.18,19.97,182.57,8.93,5.83,1.8,0,0,0,0,0,7.08,0,114.75,0,0.61,1.02,0,1.77
 60-70,0,0,0.57,0.63,10.02,0,40.01,3.21,0,3.41,53.28,0,0,3.49,0,0,0,0.8,0,0,192.33,1.91,4.09,11.87,126.63,14.71,3.64,1.24,0,0,4.75,0,0,0,0,47.45,0,5.64,4.72,0.81,9.69
 72-82,0,0,0,7.25,2.69,0,35.36,0,0,13.66,70.78,0,0,1.84,0.98,0,0,0.57,0,0,337.71,1.31,8.47,15.23,147.66,0.88,18.14,4.9,0,1.31,0,0,0,1.88,0,39.89,0,6.78,6.15,12.44,0
 84-94,0,0,0.73,8.13,0,0,39.49,1.15,0,6.45,57.25,0.84,0,4.34,2.56,0,3.09,0.69,0,0,305.26,0,13.82,11.93,150.06,3.3,10.91,5.21,0,2.1,2.19,0,0,4.19,0,43.01,0,3.28,6.22,14.18,0
 96-106,2.68,0,2.27,7.25,5.69,1.05,26.22,5.45,0,17.25,106.28,0,0,4.64,1.54,0,0,0,4.24,0,344.35,0,3.6,8.48,178.45,3.44,17.74,9.17,0,4.69,1.19,0,0,4.76,0,42.45,0.56,22.58,21.58,7.05,0
108-118,0,0,0,3.98,0.51,4.05,27.69,5.38,0,15.07,136.88,1.56,0,0.64,2,0.49,4.05,1.29,0.51,0,356.59,0,12.87,9.8,169.46,5.68,16.24,10.47,0,3.2,1.17,0,0,0,0,32.66,0,13.53,6.55,7.67,0
120,0,0,0,6.92,0,0,28.59,4.7,0,0,114.41,1.79,0,5.75,0,0,0,0,37.2,0,351.47,0,12.61,12.87,194.05,4.01,5.71,2.92,0,0,0,0,0,0,0,9.3,0,14.94,5.85,21.27,0
