stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,11.48,236.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.24,0,0,0,0,0,0
  5-6,7.63,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.84,0,0,0,0,0,0
  7-9,14.73,12.45,0,6.7,0,0,0,21.42,0,0,0,0,0,0,0,0,0,0,0,0,0,137.47,0,0,0,50.55,20.6,0,0,0,0,0,0
 10-12,0,0,0,31.47,0,0,0,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0,139.6,4.18,0,0,32.94,4.49,0,0,0,0,0,0
 14-21,0,0,0,0.83,22.24,0,0,0,0,0,0,1,0,2.27,2.13,0,0,1.04,0,0,1.1,4.94,0,1.19,0.88,0,2.6,0,0,0,0,0,0
 24-34,0,0,0.84,0.76,10,0.69,0,0,0,0,0,0.68,0,0,7.46,17.33,0,0.59,0,0,0,25.92,0,16.81,7.4,0,10.3,1.11,0.72,3.2,0,0,0
 36-46,0,0,0,0,13.5,0,0,0,0,0,0,0.56,0,0,1.22,19.19,0,0.95,0,0,0.65,35.26,0,7.2,0.61,0,29.93,0,0,7.47,0,0.56,0
 48-58,0,0,0,0.52,4.88,0,0,8.64,0,0,1.55,0.69,0.57,0,4.47,22.02,3.16,0.52,1.62,0.46,0,43.48,0,6.34,0,0,8.14,0,0,7.11,0,0,0
 60-70,0,0,0,0,5.44,0,0,3.41,0,0.84,0,0.64,0,0,6.02,34.83,0,2.12,2.43,0,0,13.74,0,9.76,10.11,0,4.33,0,0,3.67,0,0,0
 72-82,0,0,0.64,0,3.15,3.83,0,16.95,1.7,0,2.32,1.77,0,0,4.65,93.05,0,2.02,0,0,0,57.79,0,8.57,8.04,0,0.56,0,0,4.51,1.08,0,0
 84-94,0.62,0,1.44,0,4.9,0,0,15.92,7.16,0,3.57,15.5,0,0,13.74,158.99,0,3.72,4.15,0,0,25.47,0,50.98,4.82,0,21.16,0.7,0,0,9.58,0,10.49
 96-106,0,0,0,0,5.42,2.46,6.76,22.36,0.59,0,5.91,6.68,0,0,56.69,231.74,7.29,11.86,7.19,0,1.42,22.22,0,64.33,0.93,0,26.01,0,0,0,10.59,2.1,0
108-118,0,0,0.83,0.61,9.36,0.72,0.79,13.58,0.79,0,3.04,2.56,0,0,47.55,263.8,0.9,9.34,3.53,0,0,41.2,0,60.48,6.05,0,4.97,0,0,0,3.58,1.79,0
120,0,0,0,0,25.69,0,0,15.69,0,0,17.83,9.61,0,0,11.51,211.26,0,0,0,0,0,44.34,0,59.23,18.63,0,7.72,0,0,0,3.03,0,0
