stage,blastomeres,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,liver,mesenchyme,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.47,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.67,0,0,0,0,0,0
 14-21,0,2.39,0,0,0,0,0,0,0,0,0,0,0,54.09,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,2.53,0,0,0,0.79,0,0,0,0,0,67.11,0,0,0,0,0,1.7,0.89,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,52.54,0,0.59,0,0,0,0,2.9,0,0,0
 48-58,0,0,0,5.94,0,0,0,1.87,0,0,0,0,0,27.74,0,0,0,0,0,0,1.53,0,0,1.82
 60-70,0,0,0,81.33,0,0,0,0,0,0,0,10.34,0,30.08,0,0,0,0,0,0,1.2,0,0,0
 72-82,0,0.76,0,189.86,0.76,0,0,5.36,0.66,0,0,5.48,0,51.93,0,0,0,0,0.81,0,0,0,0.96,1.14
 84-94,0,1.34,0,239.67,0,0,0,7.22,0,0,0,1.54,0,37.69,0,0,0,0,0,0,0.65,0,0,0
 96-106,0,1.32,0,640.65,0,0,0,10.79,0,0.77,1.03,8.01,1.76,46.86,0,0,0,0,0,0,0,0,0,0
108-118,0,1.58,0.63,736.64,0,0.42,5.38,4.5,0,0,0,10.44,0,95.15,0.85,0,5.59,0,1.4,0,0,0.62,0,2.33
120,0,0,0,472.63,1.99,12.11,0,37.67,0,0,0,6.3,0,52.12,0,4.24,0,0,0,0,0,0,0,0
