stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.09,19.19,206.69,39.93,0,69.91,0,0,0,32.27,7.76,0,5.8,0,6.25,0,0,0,0,117.3,0,0,87.8,1441.07,10.21,22.7,19.7,29.51,0,33.82,1.74,112.38,8.13,12.41,120.28,508.41,0,0,18.71,0,5.24
 24-34,0,2.35,8.19,131.4,6.16,0,189.31,1.82,7.64,1.85,56.96,3.58,0.76,18.87,2.18,4.71,0,6.14,0.68,4.53,257.65,6.62,2.43,85.2,4583.19,12.65,60.41,28.36,0,1.98,75.01,0,2.33,3.42,4.72,34.35,950.74,0,0,108.29,0,22.68
 36-46,0,0,0.56,69.66,4.72,0,726.39,10.45,11.75,5.26,207.28,1.38,0.59,3.12,1.69,8.01,1.21,4.44,11.45,3.49,339.79,0,21.57,83.33,7214.63,9.17,48.32,20.97,0,8.6,101.21,0,0,15.77,0,1.96,1308.15,0,1.04,61.91,0,33.16
 48-58,0.39,0,0,80.85,5.3,0,1522.76,16.15,35.48,17.06,353,6.1,0,9.99,13.06,1.25,9.06,16.17,6.35,6.44,419.08,1.61,14.39,71.74,6666.4,18.15,25.07,16.43,0,0,87.37,0,0,2.19,0.79,0,1171.42,0,0.51,48.15,0,24.3
 60-70,0,0,0,86.61,2.09,0,2342.42,6.33,16.64,8.08,273.54,3.23,1.34,7.98,3.79,0,10.21,18.63,1.41,12.63,441.88,1.72,13.87,42.81,5510.04,7.91,40.21,24.59,0,4.43,72.77,0,0,3.99,4.83,0,760.74,0,7.34,50.07,4.24,15.01
 72-82,0,3.61,1.31,60.94,56.39,0,1912.84,2.81,22.18,27.68,237.09,11.3,0.5,15.39,7.66,1.47,6.23,7.84,9.8,2.36,681.02,0.94,22.06,65.53,3857.71,2.14,25.19,15.58,0,6.03,54.15,0,0,0.51,0,0,452.27,7.45,15.45,94.34,14.72,38.19
 84-94,0,3.82,0,97.17,32.65,0,1287.49,1.17,23.87,17.01,187.55,16.12,2.13,5.51,25.8,14.9,19.42,6.48,0,1.35,555.52,12.3,17.64,44.53,2462.2,6.11,22.25,20.93,0,2.68,120.8,1.4,0,7.73,0.57,0,340.95,10,8.66,94.55,10.96,6.26
 96-106,0,0.91,1.03,102.6,107.45,0.77,1125.8,2.86,15.93,16.38,238.63,14,0,7.86,17.27,9.1,1.42,16.05,7.05,16.43,468.2,6.95,10.16,49.36,1823.29,1.42,26.7,35.73,0,5.41,84.08,5.88,0,2.54,1.2,0,144.89,9.98,6.98,65.25,18.8,6.06
108-118,0,1.03,1.09,104.98,38.06,5.65,1210.03,2.45,17.85,8.67,203.57,20.33,0,2.89,16.9,7.53,24.77,5.67,17.02,16.5,502.51,10.35,15.4,40.32,2417.37,14.18,27.84,24.91,0,13.67,105.1,0,0,3.78,1.75,0,93.43,14.24,23.79,83.5,12.45,37.19
120,0,0,0,161.75,6.72,14.33,828.06,3.55,19.39,21.1,256.74,11.5,0,23.59,37.28,13.75,5.54,8.02,1.42,5.81,418.88,1.16,2.22,37.71,3174.6,15.47,51.58,23.54,0,0,44.22,0,0,3.15,1.21,0,86.66,15.8,2.71,132.7,24,21.85
