stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,8.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.13,0,0,0,8.27,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.4,0.85,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,1.74,0,56.24,0,3.4,0,0,1.36,0,0,0,0.93,0,0,0,0,0
 24-34,0,0,0,5.52,0,3.52,0,2.55,4.41,4.98,0,0,0,0,0,0,56.24,0.69,0,5.14,22.53,521.7,0,9.44,0,0,0,0.91,0,1.23,6.6,0,0,4.88,0,0
 36-46,0,0,0,2.83,0,0,0,8.85,4.45,1.46,0,0,0,0,0.61,0,67.36,0,0,10.59,22.66,496.64,0,8.43,0,0,0,0,0,0,4.29,0,0,1.36,0,0
 48-58,0.77,0,0,0.51,0,13.6,0,2.7,5.66,1.62,0,0,0,0,0,15.58,361.5,1.71,0.76,5.45,35.9,574.86,0,22,0,0,0,0,0,0,4.02,0,0,0,0,0
 60-70,0,0,0,7.84,1.86,14.15,0,4.59,7.06,7.97,0,0,0,0,2.13,0,1045.15,0,0,7,17.7,306.57,0,19.21,0,4.5,0,0,0,0,4.48,0,0.63,0.75,0.98,0
 72-82,0,0,0.83,4.18,0,51.59,0.53,4.07,14.7,3.25,5.69,0,0,0,0,0.82,1911.34,0.66,5.47,2.28,41.33,181.51,1.28,53.55,0,0,0,0,1.06,0,5.55,0,0,0.76,1.78,2.26
 84-94,0,0,0,10.81,0,37.55,0,5.19,28.28,2.6,0.98,0,0,1.92,0,0,1528.07,0,1.98,2.49,16.5,272.25,2.35,83.58,0,4.92,0,0,0,0,2.23,0,2.78,8.03,4,0
 96-106,0,0,0,4.89,0,22.21,0,1.78,20.27,0,0,0.89,0,0,2.33,0,1074.85,0,0,0.59,5.61,102.18,0.66,69.7,0,14.11,0,0,0,0,0,0,1.15,2.06,1.54,0
108-118,0,0,0,4.22,1.94,15.74,0,9.17,5.82,3.58,0,0.64,1.62,0,0,0,864.95,0,1.48,1.26,19.45,79.82,0,76.68,0,8.13,0,0,0,0,0,3.03,0,1.36,0,0
120,0,0,0,4.14,0,35.26,0,8.53,11.96,0,0,1.14,0,0,2.69,0,819.78,1.56,0,0,17.6,81.14,0,61.1,0,1.25,0,0,0,0,0,0,8.35,1.35,0,0
