stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,97.39,1691.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.38,0,0,0,0,0,0,0,0,0,0
  5-6,105.05,1435.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.69,0,0,0,0,24.02,0,0,0,0,0,0,0,0,0,0
  7-9,49.88,62.02,0,61.97,0,0,132.51,0,0,0,0,0,22.07,0,0,0,0,0,0,0,0,0,1374.71,52.4,0,0,451.78,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,21.41,0,103.35,0,14.2,154.84,0,0,0,0,0,10.99,0,0,0,0,0,0,0,0,0,1185.9,78.69,0,0,427.47,0,0,79.06,0,3.24,0,0,0,0,0,0
 14-21,0,1.47,0,3.44,29.99,9.54,18.11,0,0,0,30.3,1.09,0,0,0,0.89,0,0,0,29.86,0,17.81,300.05,4.92,4.03,8.55,7.9,0,49.13,18.01,0,24.91,142.37,0,0,0.96,0,0
 24-34,0,0,0.8,1.79,6.19,0,29.86,0,1.95,0,28.1,0,0,1.68,0.64,0,0,2.77,0,49.05,0.69,10.4,431.84,1.32,32.65,2.24,0,0.73,0,3.62,0,3.4,124.09,0,0,9.58,0,0
 36-46,0,0,0,0,2,0,83.95,0,0,1.51,21.45,0,0,1.82,0,0,0,0.8,0,27.51,0.74,3.4,496.21,0,59.48,1.81,0,3.49,0,0.62,0,0,112.83,0,0,2.34,0,0
 48-58,0,0,0.44,0,10.95,0,144.5,0,0,3.76,40.33,0,0,0,0,0,0.43,0.39,0,50.08,11.34,12.28,515.41,0,25.23,0,0,0.8,0,0,0,0,134.46,0,0.64,1.8,0,0
 60-70,0,0,0,0,1.29,0,229.98,0,0,2,48.82,1.05,0,0,0,0,0,1.86,0,55.36,2.36,4.75,363.02,0,20.92,6.9,0,0,0,0,0,0,87.65,0,2.14,0.92,0,7.08
 72-82,0,0,3.16,0.75,7.4,9,192.05,0,0,8.01,28.88,0,0,1.64,0,0.53,0.72,5.96,0,78.24,0,6.75,329.86,1.8,19.57,1.62,0,2.49,0,0.53,0,0,49.52,0,0,9.79,1.12,0
 84-94,0,0,0.74,0,12.32,12.32,164.98,0,0.64,1.96,40.19,0,0,0,0,0.75,0.73,1.54,0,85.25,2.82,3.26,244.15,0,18.73,6.26,0,0,0,4.05,0.69,0,72.99,0,1.04,1.07,8.34,0
 96-106,0,0,1.38,0,0.71,15.42,66.58,1.98,0,0.89,28.14,2.34,0,0.99,0,0,0,0.58,6.09,51.22,1.56,3.04,152.91,0.6,42.75,7.83,0,0,0,0.73,0,0,28.72,0,0,4.56,1.49,0
108-118,0,0,0,0.59,6.15,2.11,146.35,0,1.45,1.55,54.59,0.73,0,0,1.36,2.16,0.55,1.77,0.88,62.46,3.21,8.56,332.98,0,29.17,2.25,0,0,0,2.54,0,0,17.68,0.67,1.18,1.7,0.56,1.39
120,0,0,0,0,0,4.92,132.04,0,0,0,40.57,0,0,0,0,0,0,0,0,44.73,3.17,5.35,310.4,2.28,12.84,8.9,0,0,0,4.58,0,0,33.42,0,9.46,0,0,0
