stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,120.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,89.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.37,0,13.1,0,0,0,22.98,0,0,0,0,0,3.82,0,0,0,0,0,0,0,0,0,0,0,88.03,0,0,0,27.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,47.04,0,0,0,0,0,0,0,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,32.55,0,0,0,0,0,0,0,9.32,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1.88,0,0,0,0,0,3.45,0,0,0,0,0,0,0.99,2.62,0,6.21,0,0,0,0,0
 24-34,0,0,0,0,1.97,0,0,3.19,0,0,0,3.12,0,0,0,0,0,0.93,0,0,0,9.53,0,0,2.13,244.38,0,9.75,1.95,0,0,0.83,0,0,0,26.28,0,0,0,0,0
 36-46,0,0,0,0,4.29,1.03,0,23.42,0,0,7.27,5.33,0,0,0,0,0,1.11,0,0,11.9,45.68,0,0,10.18,969.7,0.85,6.43,0,0,0,1.34,0,2.05,0,94.72,0,0,0,0,10.82
 48-58,0,0,0,0,10.02,6.32,0,249.74,0,0.41,12.79,35.4,0,0,0.66,1.54,0,0.45,0,1.47,10.2,163.59,0,2.04,17.34,3374.82,0.88,19.28,0,0,0,0.39,0,0.99,0,271.27,0,0,1.17,0,1.62
 60-70,0,0,0,0,42.09,2.25,0,979.78,1.39,3.05,20.9,141.77,4.03,0,4.38,0.92,1.9,6.45,0,0,39.2,1004.09,3.18,27.63,26.76,9307.69,8.79,13.78,9.43,0,1.81,6.51,0,15.89,1.48,776.4,0,13.62,9.36,3.68,22.18
 72-82,0,0,2.86,0,56.81,15.35,0,1768.39,2.53,8.9,32.81,179.36,5.65,0,13.53,15.27,7.12,16.75,4.73,3.14,37.21,1716.24,1.09,65.49,43.13,10610.39,4.29,47.99,12.09,0,26.89,12.77,0.56,5.76,0,907.97,3.55,55.38,46.1,30.34,46.13
 84-94,0,0,2.7,0,58.24,8.08,2.32,1252.68,2.3,6.88,18.5,186.64,12.03,0,16.07,5.78,6.23,8.2,1.58,1.61,68.3,1676.88,1.79,79.56,42.7,6878.29,8.4,24.45,21.52,0,34.68,20.22,0,7.92,5.42,591.01,0.71,62.52,41.92,41.94,25.55
 96-106,0,0,4.34,0,69.51,12.04,3.17,970.6,1.93,2.12,27.67,195.83,13.41,0,19.13,14.6,4.34,23.83,5.56,28.36,17.83,1445.21,1.42,47.41,39.5,5341.49,3.61,39.47,46.97,0,22.16,11.69,0,5.03,1.15,311.66,6.88,41.99,84.5,39.79,85.31
108-118,0,0,1.21,1.88,118.88,6.56,13.58,1112.14,4.17,5.18,16.96,227.04,21.72,0,10.02,14.03,6.81,44.57,8.03,4.49,29.17,1843.08,0.77,74.27,39.56,6812.84,8.41,33.41,55.54,0,52.69,10.16,0,10.78,3.02,221.06,9.33,33.91,84.87,44.22,69.76
120,2.82,0,14.98,2.93,156.47,24.27,8.04,1699.55,7.29,16.88,51.75,604.61,36.06,0,7.69,79.56,1.48,48.78,44.83,3.69,17.62,2851.74,4.62,126.09,31.97,15142.95,25.71,44.79,140.45,0,73.63,21.85,2.5,8.83,0,510.52,0,98.43,144.27,72.99,37.65
