stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,295.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,48.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.15,8.22,0,0,0,0,0,0
  7-9,0,0,8.39,0,0,8.58,0,0,0,0,0,0,0,0,0,0,58.58,7.53,0,0,26.23,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.39,0,0,3.05,0,0,0,0,0,0,0,63.67,0,0,0,4.43,0,5.85,0,0,0,0,0
 14-21,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,3.85,0,1.04,0,0,0,0,0.62,0,0,0.67,0,0,6.69,0,0,0,0,0.7,0,0,3.02,0,0,0
 36-46,0,0,0,0,0,0,0.68,1.11,0,0,0,0,0,0.68,0,1.14,1.31,0,0,0,0,1.78,0,0,0,0,0,0
 48-58,0,0,0,2.44,0,1.32,0,6.83,0,0,0,0.51,3.98,0.52,0,0,10.6,0,0,0,0,0,0,2.22,2.61,0,0,0
 60-70,0,0,0,0,0,0,0,2.71,0,0,0,0,0,5.47,0,0,7.75,0,0,4.77,0,1.79,0,0,0,1.33,0.73,0
 72-82,0,0,0,0.55,0,0.67,0,0,0.52,0,0,0,0,1.48,0,0.78,0,0,0,0,0,0.96,0,0.9,0,0,0,0
 84-94,0,0,0,0.8,7.37,4.63,0,0,0,0,0,0,0,10.68,6.26,0,0,0,0,0,0,0.84,0,0,0,0,0,0
 96-106,0,1.06,0,1.23,0,0.69,0,1.97,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.01,0,1.83,0,1.41,0,0,0,0,0,0,0,2.85,0,0,0,0,0,0,0,1.21,0,0,0,0.49
120,0,0,0,7.07,0,0,0,41.05,0,5.93,0,0,1.33,0,1.31,0,0,0,9.62,0,0,1.68,0,0,0,0,0,0
