stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,liver,mesenchyme,mucous,muscle,neural,notochord,periderm,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0
 24-34,1.97,0,2.88,0.75,0,0,0,0,2.95,0,0,34.42,0,0,4.03,1.14,0
 36-46,0,0,4.7,3.72,0,0,0,0,1.24,0,0,52.21,0,0,7.18,2.4,0
 48-58,0,0,73.89,0.44,3.94,0,0,0,1.47,0,1.03,103.88,0,0.49,2.66,1.94,0
 60-70,0,0,666.65,0.65,4.91,0,0,0,0,2.18,1.78,209.28,0,0,0,0,0
 72-82,3.95,0,493.98,0,2.26,0,0,0,3.24,0,0.82,104.12,0,0,3.13,0,0
 84-94,17.25,0,376.89,0,13.71,3.33,0.93,0,2.89,0,0.98,72.82,1.25,0,0,0,0
 96-106,0,5.4,180.94,0,0,0,0,0,7.84,0,0,41.72,0,0,0,0.65,0.64
108-118,1.27,0,349.12,0,4.47,0,0,2.5,8.44,0,0,91.46,0,0,1.03,1.18,2.47
120,1.43,0,341.67,0,23.05,0,0,0,2.28,0,0,178.92,0,0,4.02,0,0
