stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,19.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0,0,5.76,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.99,0,0,0,0,0,0,0,0,0,171.78,0,0,0,0,0,0,0,0,0,0,0,55.64,3.88,0,0,10.75,0,0,0,0,0,0,0,0,0,0,0
 14-21,0.89,0,0,3.44,1.23,15.87,0,0,0,0,0,0,0,78.84,0,0,0,0,0,0,0,3.56,0,0,0,28.93,1.7,0,0,0,0,2.3,0,2.5,0,2.16,0,0,0,0,0
 24-34,0,0,1.45,0,0.61,0,0,8.67,0,0,0.92,3.33,4.54,23.96,0.79,0,1,0,0.63,0.65,2.16,15.29,0.63,0,6.81,178.59,7.77,8.42,2.11,0,0,28.26,0,0,0,66.05,0,0,2.25,0,2.45
 36-46,0,0,0.95,0,2.03,13.46,0,27.4,0,0,0,4.14,0,0,0,2.46,0,0.65,0.6,0,4.47,10.56,0.77,0.67,2.18,218.54,0,10.22,2.73,0,0,27.9,0.81,0,1.32,44.13,0,0,1.5,0,0
 48-58,0,0,0,0,4.84,1.09,0,45.9,0.74,0,5.25,23.19,0,2.15,0.45,0.58,0.38,0.84,0.41,0,0,22.24,2.31,0.45,2.76,312.81,0,1.81,0,0,0.47,15.91,0,0,0,52.17,0,0,1.81,0,12.31
 60-70,0,0,0,0,9.88,0,0,107,0,0,3.13,25.68,1.57,5.85,0.58,0,0,2.76,5.4,0,0,24.94,5.15,1.49,1.6,433.38,0.7,4.29,0.63,0,0,16.14,0,0,2.9,46.37,0.61,0.71,1.49,0,2.28
 72-82,0,0,0.88,0,3.49,0,0,223.44,0,0,6.36,56.69,3.91,0.55,1.4,6.82,0.5,0.72,6.76,2.13,1.22,61.38,3.48,11.23,5.24,834.27,0.52,8.09,1.97,0,3.08,3.46,0,0,0,82.16,1.43,0,5.28,2.74,3.65
 84-94,0,0,0.86,0,5.25,0.86,2.52,168.16,0,1.19,1.18,33.69,9.54,1.97,1.06,7.66,2.27,1.38,0,0.83,4.15,33.36,10.47,1.84,3.86,394.38,0,1.59,5.99,0,0,32.85,0,0,4.34,19.95,0.71,0,5.81,3.36,0.62
 96-106,0,0,5.89,0,11.94,4.14,2.12,132.96,0,0,1.71,49.84,4.51,0,3.76,9.72,1.36,0,2.86,2.63,0,52.84,11.88,3.87,2.61,502.52,1.02,6.77,9.72,0,2.01,11.24,0,0,2.63,24.03,1.13,0,1.57,3.66,0
108-118,0,0,1.69,0,10.44,2.73,4.62,198.14,0,0.62,1.24,63.99,11.54,2.74,3.04,3.08,0.95,2.69,2.77,10.12,2.46,52.03,4.94,4.13,5.1,568.57,1.57,4.56,9.05,0,0,16.38,0,0,0.42,25.59,3.64,0.64,3.87,1.48,6.56
120,0,0,0,0,9.75,0,1.06,165.42,0,0,0,143.22,5.66,0,0,9.66,4.13,13.98,0,3.27,0,77.34,5.79,2.13,0,634.75,0,0,7.65,0,4.59,11.08,0,0,4.01,37.12,0,0,2.09,0,0
