stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,14.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74,0,0,0,0,0,0,0,0,0,0
 10-12,9.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.91,0,0,3.5,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34,0,0,0,0,1.54,1.53,1.12,2.13,0,0,0,0,0
 24-34,0,0,0,0,0,0.68,0,0,0.87,1.27,2.55,2.91,0,0,0,21.47,0,0,0,0,3.57,0,0,0,6.27,0,0,0.67,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,15.95,0,0,0,0,1.81,0,0,0,9.26,0,0,0,0
 48-58,0,0,0,0,4.07,0,0,0,0.86,0,0,0.73,0,0,0,4.66,0,0,0,0,0,0,0,0,2.07,0,0,0,1.61
 60-70,0,0,0,0,5.26,0,9.89,7.67,4.23,0,0,1.69,0,0,0,10.27,0,0,0,0,2.54,0,0,0,1.75,0,0,0,0
 72-82,0,1.99,0,0,6.67,0,0,14.93,0.66,0,0,11.46,0.96,4.81,0,16.95,0,0,0,0,2.55,0,0,0,1.28,0,0,0,0
 84-94,0,6.42,4.04,1.3,1.99,0,0,26.85,6.1,0.55,0,4.54,0,0.89,0.81,17.59,2.22,0,0,0,0,0,0,0,0,7.94,0,0.65,0
 96-106,0,1.77,0,0,0.61,0,6.92,25,5.72,0,0,11.22,0,0,0,19.37,0,0,0,1.44,5.37,0,0,0,0,0.61,1.27,0,0
108-118,0,2.31,0,0,4.93,0,6.35,31.34,12.82,0,0.52,9.95,0,0,0,12.06,1.39,0.56,0,0,1.61,0,0,0,0,1.58,0,0,0
120,0,9.35,7.26,0,0,2.6,0,127.72,8.54,0,0,4.91,0,0,0,16.23,0,0,0,0,0,0,0,0,0,0,0,0,0
