stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,72.56,658.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.31,0,0,0,0,0,0,0,0,0
  5-6,62.85,252.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.54,0,0,0,6.11,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,25.43,0,0,0,0,0,0,0,0,27.89,0,0,0,0,0,0,0,0,0,0,0,135.96,0,0,0,18.79,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.6,24.66,1.97,0,0,0,0,0,3.88,1.58,0,0,20.15,0,0,0,0,0,0,0,0,10.3,0,1.09,2.87,0,99.36,1.21,1.22,1.56,0,0,0,1.03,0,0
 24-34,0,0,0.66,1.87,11.94,0,0,0.59,3.85,0,0,2.19,3.85,0,0,50.65,0,3.6,4.66,0,3.29,7.85,0,3,62.51,0,10.54,7.03,0,472.83,0,0,5,15.15,0,0,0,0,0.93
 36-46,0,0,0,0.74,3.97,0.67,0,6.8,2.03,0,0,0.57,0.76,0,0,21.15,0,2.49,0.87,6.89,0.93,6.41,0,0.62,47.28,1,7.94,2.08,0,583.64,0.81,0,6.36,0.85,0,0,3.1,0,2.51
 48-58,0,0,0,0,27.52,0,0,11.58,10.55,0,4.35,10.86,1.1,0,0,2.08,0,2.87,2,2.19,5.6,7.5,0,0,54.64,0,8.48,4,0,388.1,0,0,0.52,9.67,0,0,0,0,3.34
 60-70,0,0,0.7,0,24.48,0,0,15.21,15.27,0,3.22,7.17,10.01,0,0,21.02,0,10.53,4.62,0,3.33,7.54,0,0,18.74,0,9.06,13.14,0,403.49,0,0,2.68,1.42,2.9,0,0,0,13.13
 72-82,0,0,2.63,0.62,48.75,1.45,0,7.98,3.12,0,15.44,19.07,2.19,0,0.54,23.49,0,15.27,4.36,0,6.22,10.28,1.11,0.59,26.58,0,5.44,5.82,0,283.39,0,0,3.59,0,12.82,0,1.94,4.01,6.08
 84-94,0,0,6.25,1.04,105.65,2,0,21.27,14.04,0,1.49,24.78,4.77,0,0,30.38,0,15.54,3.38,0,9.2,20.43,0,0,33.22,1.72,7.66,5.8,0,957.45,0,0,3.29,0,14.16,0,0,3.28,5.51
 96-106,0,0,5.72,0,119.96,11.13,0,18.58,23.36,2.29,18.99,43.19,1.06,1.68,4.68,33.64,1.8,20.36,23.77,0,11.75,17.78,0,0.78,34.74,0,16.33,13.54,0,737.44,0,0,7.66,0,24.78,1.16,0,0.91,0
108-118,0,0,0.77,0.74,86.24,1.02,1.26,5.55,23.43,0,1.96,43.19,0,0,1.26,33.64,0,10.74,10.07,0,8.9,21.3,0,5.02,51.25,0.56,13.92,8.08,0,496.32,0,0,7.98,0,17.06,0,3.91,0,0
120,0,0,0,0,99.56,2.63,0,14.59,14.07,0,7.19,33.74,0,0,0,31.59,0,24.08,5.44,0,0,4.23,0,0,51.19,0,7.02,8.05,0,341.29,0,0,11.05,2.54,9.36,2.41,0,0,0
