stage,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,149.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,109.1,0,0,0,0,0,0,0,10.72,7.71,0,0,0,0,0
  7-9,0,15.04,0,8.52,0,0,0,83.18,7.93,37.73,0,0,0,0,0
 10-12,20.4,5.76,0,4.27,0,0,0,97.58,0,18.96,0,9.34,0,0,0
 14-21,0,0,0,0,0,0,0,10.44,0,0,0,0,0.9,0,0
 24-34,0,0,1.68,0,0,0,0,14.6,0,0,3.92,0,8.3,0,0
 36-46,0,0,0,0.83,0,0.89,0,5.91,0,0,0,0,4.75,0,0
 48-58,0,0,0,3.95,1.04,0.46,0,1.17,0,0,0,0,1.15,0.48,0
 60-70,0,0,0,0,0,0,0.63,3.62,0,0,0,0,0,0,0
 72-82,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,1.62
 84-94,0,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.32,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.36,0,4.21,0,0,0,0,0,0,0
