stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,25.17,467.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.33,179.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.07,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.55,0,0,4.38,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,7.48,0,0,0,0,11.46,0,0,0,0,0,0,0,0,0,0,90.57,0,0,5.66,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.63,0.86,0,0,2.91,0,0,1.72,0,0,14.93,0,0,0,2.07,0,7.7,0,0,2.38,40.06,0,0,0,0,0,0,1.77,1.4,12.85,0,0,0.86,0,0
 24-34,0,0,0,0,1.76,0,0,2.99,1.42,0,1.42,0,0.66,3.97,0,0,0,0,0,1.12,0,0,0.85,210.38,6.57,0,0,0,0,0,0,0,106.7,0,0,3.59,0,0
 36-46,0,0,0,0,1.94,0,0,5.62,0,0,7.32,0,0,1.67,0,0,0,0,0,11.96,0,0,0,362.04,1.51,0.58,0,0,0,0.91,3.55,0,259.47,0,0,1.99,0,0
 48-58,0,0,0,0,5.82,0,0,58.98,0,0.72,10.67,1.98,4.3,0.48,0,0,1.05,0,1.12,13.27,0,0.46,2.97,555.41,2.02,0.9,0,0,0.87,0,0,0,272.78,0,0,0.65,0,5.29
 60-70,0,0,0.95,0,5.82,0,0,92.73,0,0.93,2.31,0,0,0,0,8.1,0,0,0,6.16,0,0,0.91,584.7,1.48,0,0,0,0,0,0,0,160.57,0,0,0.67,0,0
 72-82,0,0,0,0,1.87,1.69,0,197.72,0,0,32.5,0,0.55,0,0,0,0,0,0,34.77,0.56,0.76,3.46,777.52,0.93,4.68,0,1.61,0,0,0,0,159.54,1.21,0,4.19,0,3.3
 84-94,0,0,0,0,3.82,0,0,144.06,0.9,0,26.44,1.95,0,0.8,0.94,0.55,0,0,0,31.87,0,2.35,3.7,576.78,0,3.03,0,0,6.44,0,0,0,144.85,0,0,5,6.04,0
 96-106,0,0,0,0,0,13.18,0,195.46,0,1.31,24.95,0,0,0,0,0,0.65,0,0,41.11,0,0.92,0,393.14,5.86,1.39,0,0.83,0,0,0,0,50.88,0,1.36,0,0,0
108-118,0,0,0,0.74,5,0,2.58,205.91,3.35,0,29.91,1.62,0,0,0.6,0,0,0,0,23.52,0,0.72,0,596.54,0.96,14.62,0,0,0,0,0.94,0,33.99,0,0,4.09,0.57,0
120,0,0,0,0,4.84,0,3.82,384.16,0,0,41.32,0,0,1.15,4.22,3.92,0,0,0,53.3,0,0,4.04,1114.28,3.86,31.02,0,0,1.92,0,0,0,75.88,0,0,0,0,0
