stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,38.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.26,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.69,0,0,0,6.94,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.18,1.1,7.2,5.39,0,1.1,0,0,0,2.55,0.98,0.81,0,1.26,0,0,0,0,6.51,0,0,3.38,340.67,1.95,14.66,5.43,3.29,0,0,0,12.74,0.86,0,7.92,248.15,0,0,1.5,0,0
 24-34,0.88,0,5.54,0.64,5.03,0,0,33.22,0,1.4,1.58,8.4,0,0,0,0,0,0,0,4.36,38.89,0,0,13.35,2367.35,2.18,49.25,6.48,0,0,3.61,0,0,0,0,7.38,528.27,0,0,7.61,0,0
 36-46,1.07,0,0.99,0,5.49,0,0,266.81,0,0,2.75,36,0,5.41,4.71,0,0,0.57,0,0,71.4,0,0.67,14.31,6632.24,4.18,71.67,4.7,0,0,1.28,0,0,0,0,0,1133.43,0,0,9.85,0,5.4
 48-58,0,0,0.44,0,20.3,1.56,0,1030.95,3.87,18.39,1.28,112.03,0,6.2,0.7,0,0,0,0,4.92,110.81,6.07,9.54,8.12,6828.27,3,24.04,2.05,0,0,2.84,0,0,0.49,0,0,1126.16,0,0,7.35,0,2.32
 60-70,0,0,8.06,0,32.07,0,0,3138.81,1.44,0,6.06,139.59,0,4.42,4.63,0.6,5.47,3.43,0,2.33,150.47,0,4.68,17.77,10814.16,11.17,35.23,1.37,0,0,17.32,0,0,1.35,0,0,1466.87,0,2.38,5.46,0,31.73
 72-82,0,0,5.34,0,17.33,0,0,3185.16,0,0,3.07,147.4,1.79,2.77,14,1.45,2.91,0,0,0,183.35,0,3.11,23.96,7172.62,0,45.2,5.44,0,1.77,4.54,0,0,0.73,0,0,706.7,0,4.09,19.93,7.59,3.96
 84-94,0,0,3.23,0,27.99,1.3,0,1830.36,0,0,3.71,120.21,8.69,6.84,12.26,0,7.26,0,0,0,176.76,0,12.24,13.97,4271.52,0.57,22.65,4.21,0,0,7.42,0,0,2.7,0.69,0,440.72,5.66,2.16,21.05,9.82,0.69
 96-106,0,0,1.62,0,36.03,15.39,0,1297.05,1.43,1.92,3.19,98.9,3.91,3.23,10.6,0,3.29,3.09,7.44,6.45,112.79,0,7.69,6.68,3060.07,0,30.06,2.74,0,1.36,0,3.39,0,0,0,0,152.34,2.05,0,12.3,8.23,0
108-118,0,0,2.84,0,43.27,3.01,0,1393.04,0,1.45,1.95,78.89,3.43,0,1.7,0,5.15,0.43,0.56,0.51,176.74,0,4.6,13.36,3861.45,1.01,25.85,2.39,0,1,10.58,0,0,1.48,0,0,161.19,4.6,1.6,20.85,2.51,1.25
120,0,0,0,0,24.98,4.16,3.69,1192.34,0,1.13,0,80.22,5.59,5.73,6.13,9.77,0,0,0,1.51,64.53,4.4,2.35,13.64,5352.54,2.28,18.74,1.86,0,0,3.57,0,0,0,0,0,161.33,3.65,1.56,15.99,0,7.26
