stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.53,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,17.09,0,6.71,5,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,7.94,0,0,0,0,0,0,0,0,5.45,0,0,0,6.08,0,0,0,0,0
 14-21,0,2.37,1.21,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,2.07,0,0,0,0,0.91,0,0,0.98,0
 24-34,0,3.15,0,2.77,0,0.69,0,0,0,1.3,0,0,0,0,2.72,0,8.72,10.03,0,0,0,0,1.09,1.87,0,1.85,0
 36-46,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,2.06,0,4.92,1.64,0,0,0,0,0,6.74,0,0.56,2.58
 48-58,0,7.52,0,0,0,1.47,0,0,0,0,0,0,0,0,0.9,0,0.55,0.45,0,0,0,0,0,0.54,0,1.49,0.99
 60-70,0,2.07,0,0,0,1.81,0,0.64,0,0,0,0,0,0,3.46,0,0.98,1.48,0,0,0,0,0,0,0,0,0
 72-82,0,11.06,0,2.75,2.07,0,1.81,0.9,0,0,0,0,0,0,2.07,0,0.54,6.15,0,0,0,0,0,0,1.21,0.99,0
 84-94,0,25.69,0,0,0,0,0,14.76,0,0,2.22,1.07,0,0,2.72,0,0.69,4.4,0,0,1.48,0,0,0,0,0,0
 96-106,0,56.01,0,0,0,0.64,1.92,20.28,0,0,0.95,0,0,1.33,5.16,0,1.13,5.33,2.13,0,4.64,0,0,0,13.57,1.15,0
108-118,0,135.48,0,0.44,0.68,1.55,2.11,39.62,0,0,3.35,6.41,0.91,0,7.97,0,1.54,10.16,0.93,0,13.94,0,0,0,7.58,0,0
120,0,169.19,0,0,0,1.74,0,43.79,0,0,0,7.12,0,0,0,1.15,3.19,1.98,5.28,0,39.62,0,0,0,1.37,0,0
