stage,epidermis,eye,glial,lateral.line,liver,melanocytes,mesenchyme,mural.cell,neural,olfactory,paraxial.mesoderm,periderm,pgc,spinal.cord,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,7.27,0,9.78,0,8.7,0,0,0
 14-21,1.12,1.04,0,0,0,0,1.3,0,2.08,0,0,0,0,0,0,0
 24-34,0.82,0.73,0,0,0,0,0.64,0,19.68,3.88,0,0,0,2.95,0,0
 36-46,6.99,0,0,0,0,0,0,0,41.89,4.08,0,0,0,4.22,0,0
 48-58,2.28,5.87,0,0,0,0,0.41,0,95.7,1.27,0,0,0,10.72,0,0
 60-70,0,51.51,9.91,0,0,0,1.05,0,212.59,0,0,0,0,12.06,0,0
 72-82,1.16,57.63,4.25,0,0,0,3.08,1.11,246.09,0,0,0,0,12.25,0,0
 84-94,0,43.86,2.92,1.03,0,4.3,1.22,0,205.83,0,0,0,0,23.52,1.35,0
 96-106,0.64,44.62,7.95,0,7.43,0,2.41,0,184.23,1.65,0,4.11,0,2.28,0,5.14
108-118,0,91.1,1.41,0,0,0,0.42,0,171.27,3.12,0,0,0,7.2,0,1.72
120,0,14.44,1.51,0,0,0,0,0,312.74,0,0,0,0,12.17,0,0
