stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,heart,melanocytes,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,28.57,0,0,0,0,0,0,0,0,0,0,33.34,0,0,0
  5-6,39.74,0,0,0,0,0,0,0,0,9.31,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,45.25,3.76,0,0,0,0
 10-12,6.2,0,7.83,0,0,0,0,0,0,69.64,11.95,0,3.49,0,0
 14-21,0,0,0,0,0,0,0,0,0,4.7,0,0,0,0.92,1.34
 24-34,0,0,0.84,0,0,0,0,0,0,26.62,0,0,0,0,3.02
 36-46,0,0,1.84,0,0,0,0,0,0,25.02,0,0,0,0,2.41
 48-58,0,0,4.81,0,0,0,4.16,2.18,0,11.35,0,0,0,0,3.2
 60-70,0,0,10.51,0,1.43,0,0,0.65,0,11.37,0,0,0,0,2.56
 72-82,0,0,5.42,0,0,0,0,0,0,8.4,0,0,0,0,0
 84-94,0,0.63,3.19,1.01,0,0,0,1.57,0,19.09,0,0,0,0,0
 96-106,0,0,0,0,0,0.78,0,0,0,4.07,0,0,0,0,0
108-118,0,0,2.08,0,1.65,0,0,7.5,0.59,7.12,0,0.47,0,0,0
120,0,0,5.91,0,0,0,0,0,1.46,4.03,0,0,0,0,0
