stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,43.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.09,0,3.91,0,0,0,7.75,0,0,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0,30.55,0,0,0,21.28,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.51,0,0,0,26.13,0,0,0,6.22,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1.83,0,0,0,0,0,0.84,0,0,2.17,0,0,0,0,0,0,0,0,0,0,5.68,0,0,0,0.94,0,0,0.93,0,97.56,12.18,0.82,0,0,0,0,0
 24-34,0,0,0,2.42,0,0,4.87,319.44,0,0,2.21,0.73,0,6.35,0,0,0,0,7.44,0,5.12,0,0,29.67,106.85,0.74,1.04,0.75,0,0,0.89,0,0,203.7,68.5,24.29,0,0,8.16,0,0
 36-46,0,0,0,1.69,0,0,13.65,671.29,0.56,0,9.06,0,0,0.88,0,0,0,0,0,16.41,10.52,0,0,16.62,90.53,0,0.8,0.72,0,0,12.36,0,3.05,269.15,1.74,20.83,0,0,6.99,0,0
 48-58,0,0.42,0,5.05,0,0,49.61,690.04,0,0,13.29,0,0,1.31,1.37,0,0,0,0,1.16,10.09,3.08,0,37.53,180.59,6.32,0.64,0,0,0,0.91,0,0,231.79,0,32.6,0,0.37,4.24,0,10.35
 60-70,0,0,0,2.82,3.05,0,42.53,397.57,0,2.68,10.69,0,0,6.86,0,0,0,0,0,0,18.21,0,0,37.23,110.11,0,0,0,0.81,0,4.36,0,0,112.8,0,13.25,0,0.98,2.38,1.09,6.25
 72-82,0,0,0,2.38,2.53,0,64.72,264.67,0,0,13.56,0,0,1.69,0,0,2.4,0,0,0,15.56,0.61,0,26.99,108.35,0,2.89,0.57,1.13,0,5.73,0,0,52.88,0,26.3,2.74,6.88,3.83,1.24,15.22
 84-94,0,0,0,1.83,5.77,0,108.83,406.11,1.44,7.48,3.76,0,0,3.62,0,0,0.62,4.83,0,0,26.37,0,2.23,45.11,90.49,4.06,0,2.6,0,2.65,6.18,0,0,100.59,0,2.72,0.56,2.42,8.49,7.47,1.5
 96-106,0,3.05,0,5.45,31.57,0,81.58,672.67,6.32,1.5,17.22,1.63,0,2.89,12.54,2.81,0,2.09,1.18,0,31.17,0,3.09,29.33,110.88,1.07,1.59,3.38,0,5.67,14.5,0,0,101.11,0,9.65,1.68,11.11,17.65,5.38,13.57
108-118,0,0,0,3.47,4.36,1.7,91.82,533.1,0.52,3.67,14.56,0.61,0,4.27,1.1,0,1.62,4.2,2.3,0.72,20.08,1.71,1.21,45.86,169.7,0.85,5.55,0.44,0,2.27,6.3,0,0,81.39,0,9.89,0,5.53,6.79,7.09,0
120,0,0,0,1.79,0,0,53.57,371.92,0,4.41,0,0,0,3.7,2.93,0,0,0,0,0,12.95,0,0,36.83,54.64,0,0,2.87,0,2.76,1,0,0,14.57,0,14.59,1.06,1.32,23.91,8.99,8.29
