stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,liver,melanocytes,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,5.51,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,16.57,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,24.89,0,0,0,0,1.26,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,15.65,0,0,0,0,0,0,0,0,1.21,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,9.28,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,20.17,0,1.61,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,9.58,0,0,0,0,0,29.87,0,12.09,0,0,3.61,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.64,0,0,2.51,0,0,59.33,0,2.7,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0.83,1.62,3.37,27.11,0,1.4,0,0.57,0,477.81,0,12.46,4.41,1.54,59.01,0,0,2.28,0,0.81,0,0,2.71
108-118,0,0,1.04,0,8.86,0.75,0,5.17,1.66,1.14,818.8,0.55,11.45,0,0,40.79,1.58,0,0,0,1.33,1,1.17,8.09
120,0,0,0,0,11.74,0,0,0,7.81,0,683.8,0,0,0,8.9,69.27,0,0,1.3,0,0,0,0,0
