stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,25.29,0.82,0,0.88,0,2.47,0,0,0,0,0,0,4.18,0,6.02,0,2.03,17.99,1.24,0,0,0.82,0,2.37,0,0,0.94,9.18,0,0,0,0
 24-34,1.34,15.02,0,5.22,3.56,0,2.83,0.69,0,0,0,0,0,0,0,11.73,0,4.73,112.62,0.64,0,1.1,0,0,0,0.93,0,0,25.37,0,2.03,0,1.19
 36-46,0,19.39,0,7.37,0,1.93,6.05,0,0.95,0,0,1.88,0,0,0.8,15.41,0.67,3.04,82.6,0,0,0.61,0,1.21,0,0,0,0,16.75,0,0,0,2.01
 48-58,0,21.37,0,11.01,2.98,1.07,8.99,0,0,0,0,0,0,0,0,8.65,0,1.79,68.26,0,0,2.22,0,0,0,0,0.46,0,10.86,0,0,0,8.78
 60-70,0,4.15,0,8.26,4.34,0,11.91,0,0,0,1.02,0,0,2.22,0,27.95,2.58,0,19.11,5.95,0,0,0,0,0,0,0,0,1.15,0.9,0,0,1.61
 72-82,0,12.49,0,8.45,1.34,0,3.63,0,0,0,0,0,0,0,0,8.33,2.1,0.57,19.15,0,0,0,0,0,0,0,0,0,3.3,1.42,0,0,0
 84-94,0,4.24,0,9.43,3.52,0.94,6.59,0,0,0,0,0,0,0,0,12.1,4.32,2.22,0.62,0,0,0,0,0,0,0,0,0,0,0.71,0,2.46,0
 96-106,0,4.46,0,18.66,0.59,0,4.39,1.41,0,0,0,0,1.28,0,0,16.13,0,7.19,2.12,0.91,0.6,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,22.77,0,6.08,4.03,0,6.63,0,0,0.66,0,1.03,0.43,0,0,29.02,0,4.82,13.71,0,0.5,0,0,0,0,0,0,0,1.49,0,1.49,0,0
120,0,44.64,0,8.62,9.1,0,29.83,1.25,0,0,0,1.05,1.69,0,0,60.55,0,0,31.35,0,13.31,0,0,0,0,0,0,0,0,3.84,1.62,0,0
