stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,16.11,486.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.75,969.15,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,104.9,0,0,0,17.1,0,0,0,0,0,0,0
  7-9,7.34,8.69,0,0,0,16.62,0,0,0,10.97,0,0,0,0,0,0,222.75,17.85,0,0,81.69,0,0,0,0,0,0,0
 10-12,0,8.35,17.63,0,0,18.79,0,0,0,4.05,0,0,0,0,0,0,362.41,0,0,0,106.21,0,0,4.89,3.87,0,0,0
 14-21,0,0,0,4.91,2.1,1.99,0.88,0,0,1.73,0,0,0,0,0,4.17,23.8,0,0,1.02,0,0,1.7,0,5.64,9.51,0,0
 24-34,0,0,0,0.66,0,6.59,0,0,0.71,0,1.92,0,0,3.24,0,0,38.43,0,1.48,1.03,0,0,0,0,0.75,8.5,0,0
 36-46,0,0,0,0,0,3.23,0,1.12,0,0,0,0,0,3.99,0,0,26.61,0,0,0,0,0,0,0,0,4.8,1.67,0
 48-58,0,0,0,0,0,8.06,0,4.95,0,0,0,0,1.26,3.75,0.39,0.54,13.88,1.42,0,0,0,0,0,0,0,1,0,0
 60-70,0,0,0,0,0,5.83,0,3.32,0,0,0,0,0,0.95,0,16.58,8.81,0,0,0,0,0,0,0,0,2.18,0,0
 72-82,0,0,0,0,0,2.49,0,1.34,0,0,0,0,0,4.64,0,0,4.79,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,10.38,0,0.9,0,0,0,0,0,0,0,0,11.9,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.29,0,3.66,0,0,0,0.56,0,4.06,0,0,8.44,0,0,0.86,0,0,0,0,0,0,2.57,0
108-118,0,0,0,0,0,0,0,1.56,0,0,0,0,0,4.1,0,0,3.12,0,0,0.49,0,1.35,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,5.76,0,0,0,0,0,0,0,0,0,0,1.59
