stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,32.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,48.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,17.96,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07,0,0,0,2.75,0,0,0,0,0,0,0,0,0,0,0.72,0,0
 48-58,0,0,0,0,0,0,27.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,7.01,0,0,3.57,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,10.21,0.61,0,12754.62,1.3,1.18,0,11.07,5.56,0,0,7.73,0,0,0,0,0,13.7,0,0,1.57,43.15,0,0,0,0,3.76,0,0,3.06,0,0,0,0,10.27
 72-82,0,0,0.87,185.84,55.81,2.97,73695.2,1.95,4.12,12,114.02,11.83,0,1.27,5.86,19.11,88.54,18.01,38.49,0,209.37,4.73,4.72,27.67,988.12,4.79,7.59,6.65,1.05,87.07,4.42,0,94.35,15.59,53.89,31.67,11.01,82.97
 84-94,0,0,0,125.33,30.55,0,70539.53,0,68.97,6.92,58.17,13.62,0.71,0,2.79,3.61,45.03,1.32,4.88,9.69,163.54,10.9,2.77,11.8,525.14,18.99,8.66,1.46,1.65,41,4.19,0,32.35,6.18,4.16,8.48,6.83,9.38
 96-106,1.12,0,2.96,272.17,168.97,2.33,103812.46,3.12,39.05,10.96,197.81,13.72,0,8.42,84.15,4.88,7.21,3.95,62.99,8.24,186.43,9.04,16.9,20.7,958.37,2.25,34.86,15.16,2.65,154.33,0.69,95.82,78.06,52.61,18.42,65.65,12.62,41.06
108-118,0,0,5.71,65.67,45.8,9.54,91581.2,3.31,28.82,8.09,147.71,8.05,2.74,2.51,19.4,26.47,0.49,5.35,27.09,0,362.22,4.62,15.01,31.29,1263.86,1.74,11.17,5.26,9.78,92.37,0,1.25,25.02,3.86,11.92,81.18,3.52,19.73
120,0,0,0,195.71,137.26,10.41,90374.19,0,285.66,16.39,111.09,10.9,0,17.7,30.38,13.12,12.79,6.01,9,0,283.01,27.88,10.79,45.52,1722.19,2.55,27.42,20.07,0,66.57,1.73,0,49.17,6,5.64,39.42,7.5,20.94
