stage,blastomeres,epidermis,eye,fast_muscle,glial,heart,immune,ionocyte,melanocytes,mesenchyme,neural,notochord,pericytes,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,42.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.49,0,0,0,1.7,0,0,0,0,2.43,0,1.25,0
 24-34,0,0,0,0,0,0,108.36,2.27,0.9,0,4.57,1.98,0,0,1.38,3.24,0,9.98,0
 36-46,0,0,0,0,0,0,136.72,0,0,0,5.62,0,0,0,0,0,0,0,0
 48-58,0,0,20.89,0,0,0,55.46,0,0,0,7.63,0,0,0,0,1.93,0,4.14,0.93
 60-70,0,0,19.1,0,0,0,199.01,0,0,0,10.2,0,0,1.68,0,0,0,0,0
 72-82,0,1.27,11.78,0,0,1.42,79.67,0,0,1.99,8,0,0,0,0,0,0,0,0
 84-94,0,0,3.75,1.17,0,0,116.45,0,0,0,2.62,0,0,0,0,0,0,0,0
 96-106,0,0,3.6,0,0,0,114.93,0,0,0,3.52,0,0,0.94,0,0,1.03,1.72,0
108-118,0,2.27,2.4,0,0,0,100.02,0,0,2.71,4.77,0,5.01,0.5,0,0,1.17,0.42,0
120,0,0,16.44,0,4.03,0,130.62,0,0,4.4,4.05,0,0,0,0,3.57,0,0,0
