stage,epidermis,erythrocytes,eye,fast_muscle,glial,gut,mesenchyme,muscle,neural,olfactory,periderm,slow_muscle,somites,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,2.16,0,0,0,0,0,0
 24-34,0,0,2.07,0,0,0,0,0,0,0,0,1.21,1.28,0,0
 36-46,0,0,0,0,0,0,0,0.95,4.7,2.86,0,0,0,0,10.54
 48-58,0,0,0.9,0.87,1.78,0,0,0,1.8,0.85,0,2.44,0,0.55,0
 60-70,0,0,0,0,8.89,0,0,0,7.73,0,0,2.97,0,0,0
 72-82,0,1.18,1.01,0,4.16,0,1.51,0,3.96,3.54,1.92,0,0,4.68,0
 84-94,0.66,0,14.19,0.75,7,0,3.89,0.99,1.95,0,1.03,0.91,0,0,0
 96-106,0,0,13.6,3.09,14.67,0,0.74,0,3.52,10.23,0,0,0,0,0
108-118,2.88,0,5.8,0.45,14.72,0.99,3.83,0.56,10.47,2.42,0,1.65,0,1.2,4.25
120,1.24,0,12.9,2.24,4.64,0,9.46,1.21,6.37,0,0,1.21,0,0,0
