stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,86.92,2793.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.63,0,0,0,0,0,0,0,0,0,0
  5-6,93.65,816.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.24,0,0,0,18.86,0,6.81,0,0,0,0,0,0,0,0,0,0
  7-9,15.89,5.43,0,27.74,0,0,0,33.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.46,14.44,0,0,117.95,0,0,28.75,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,13.45,0,0,0,4.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.15,3.27,0,0,15.07,0,0,0,0,3.38,0,0,0,0,0,0,0
 14-21,0,0,0,3.59,259.57,51.41,0,5.95,0,0,0,2.64,1.76,7.33,3.38,0.83,4.7,0,0,1.25,52.29,1.16,0,25.57,77.27,0.81,0,0,1.8,0,59.8,0,6.39,0,13.69,35.32,0,0,29.47,0,0
 24-34,0.88,0,0.84,3.73,345.55,8.15,0,20.65,0,5.86,5.41,4.2,1.22,33.03,6.55,3.36,9.66,0.75,0.74,6.18,270.81,2.85,5.28,97.15,151.9,0,6.39,0,0,2.13,130.2,0,0,0,2.79,75.98,0,0,233.74,0,9.57
 36-46,0,0,0,0.8,348.17,1.31,0,16.86,0,49.49,8.1,5.79,0.74,42.67,18,0,28.15,1.74,1.74,21.96,296.41,6.47,22.46,84.93,154.67,0.6,6.65,0.8,0,7.92,161.66,0,0,0,0.83,89.02,0,3.93,194.3,0,38.01
 48-58,0,0,0,0.4,254.09,4.9,0,44.87,0,55.37,14.53,11.74,3.1,21.29,3.16,0,41.53,5.11,0,32.75,381.05,2.52,33.06,81.4,187.03,0,4.11,2.27,0,11.96,76.25,0,3.76,4.15,0,96.75,0,5.75,126.47,1.27,29.84
 60-70,0,0,0,0,302.1,4.64,0,57.79,3,59.54,13.26,26.44,5.6,12.48,18.98,1.02,58.76,11.52,3.1,25.5,439.77,3.32,47.38,47.69,144.18,0,2.8,5.28,0,13.65,62.41,0,0,0,0,36.29,1.22,25.65,104.11,8.92,72.71
 72-82,0,0,0.83,0,161,0,0,68.1,0.52,36.39,20.66,18.98,29.92,13.79,22.72,1.57,36.42,21.83,6.68,35.2,508.34,7.25,58.81,77.89,70.09,0,4.92,9.04,0,18.2,33.75,0,0,0,0,34.21,0,29.02,159.94,26.84,45.29
 84-94,0,0,2.09,0.93,248.6,3.82,0,45.18,0,50.87,19.09,10.64,25.41,11.15,15.18,3.63,91.22,21.32,0.57,36.52,366.71,4.05,52.62,39.62,86.06,2.09,0.78,4.85,0,6.62,74.32,0,0,0,0,33.64,0,28.81,143.54,21.42,61.79
 96-106,1.12,0,1.1,0,213.35,18.07,1.86,47.77,0,27.2,10.1,20.17,34.44,9.99,31.22,3.54,79.48,17.73,5.75,11.73,361.52,1.37,39.22,27.39,141.37,2.83,8.05,2.71,0,14.49,78.36,0,0,0,0,28.95,0.84,24.42,141.86,25.78,63.6
108-118,0,0,1.22,1.37,234.96,2.36,0,37.82,0.68,45.75,8.8,21.93,24.73,8.41,35.91,5.38,194.46,10.64,11,25.79,338.32,2.74,50.69,32.01,110.26,0.44,3.87,4.21,0,20.97,60.78,0,0,0,0,15.76,4.97,42.79,115.16,27.57,54.7
120,0,0,0,6.07,210.76,14.25,0,15.68,8,53.4,27.91,4.01,51.21,34.16,43.09,2.21,76.02,7.11,20.37,12.54,249.27,4.47,36.36,24.2,134.88,0,8.15,17.07,0,4.48,28.4,0,0,1.56,0,12.13,0,42.54,161.73,6.96,27.13
