stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,368.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.12,0,0,0,0,0,0,0
  5-6,59.57,651.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.27,0,0,0,0,7.85,0,0,0,0,0,0,0
  7-9,3.69,4.62,6.32,0,0,30.74,0,0,0,0,6.31,0,0,0,0,0,0,0,0,0,0,185.13,0,0,0,96.03,0,0,0,0,0,0,0,0
 10-12,0,0,18.03,0,0,9.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.07,23.94,0,0,115.99,0,0,11.03,0,3.28,0,0,0
 14-21,0,0,0,5.12,3.16,3.71,0.88,0,1.22,0,0,0,0,0,0,0,0,2.53,0,0,2.95,51.7,5.15,1.04,0,0.83,0,12.06,0.85,2.41,17.96,0,0,0
 24-34,0,0,0,2.5,3.21,4.89,0,0,0,0,0,0,0,0,0,0,0,11.44,0,0,5.14,50.32,0,1.22,1.16,0,0.61,0,0,0,18.06,7.91,0,0
 36-46,0,0,0,4.22,0,6.17,0,0,0.84,0.61,0,0,0,0,0,0,0,10.47,0,0,4.16,47.97,0,0,1.28,0,2.38,0,0.86,0,9.92,4.49,0,0
 48-58,0,0,0.4,0,0,18.09,1.78,0.56,3,0,0,0,3.86,1.83,0,0.5,0,16.72,0,0.54,2.74,43.93,0,0,0,0,5.58,0,0,0,4.43,0.93,0,0
 60-70,0,0,0,0,0,18.98,0,0,1.61,0,0,0.88,0,0,0,0,0,25.07,0,0,1.13,28.02,0,0.62,0,0,0,0,0,0,11.05,0.75,0,8.22
 72-82,0,0,0,4.42,0,16.74,0,0,5.26,0,0,2.16,1.33,0,0,0,0,21.68,0,0,3.07,28.75,0,0,1.64,0,1.75,0,0,0,4.91,2.23,0.76,0
 84-94,0,0,0,3.69,0,10.4,0,0,1.37,0,0,1.45,2.09,0,0,0,0,18.61,0,1.06,0,27.47,0,0,0,0,4.3,0,2.44,0,0,5.93,0,0
 96-106,0,0,0,6.75,0,4.54,2.75,0,3.78,0,0,3.85,1.6,0,0,0,0,22.87,0,1.5,0,39.21,0,0,1.57,0,4.74,0,0,0,2.23,1.53,0.8,0
108-118,0,0,0,4.82,3.06,11.24,0.68,4.07,6,0,0,0,0.48,0,0.63,0,2.2,20.52,0.43,0.46,2.53,25.12,0,0.51,0.79,0,0,0,0,0,5.65,3.66,2.11,0
120,0,0,0,6.5,0,6.64,0,0,9.23,0,0,1.15,0,4.52,0,0,0,20.54,0,0,0,18.86,0,2.4,10.2,0,2.06,0,0,0,0,0,1.8,0
