stage,axial,blastomeres,endoderm,epidermis,fast.muscle,fin.epithelia,glial,neural,paraxial.mesoderm,spinal.cord,taste
  3-4,17.74,204.57,0,0,0,0,0,0,0,0,0
  5-6,12.42,168.78,0,0,0,0,0,0,0,0,0
  7-9,0,0,9.44,0,0,0,0,46.75,5.01,0,0
 10-12,0,0,0,0,0,0,0,0,5.09,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.86,0
 24-34,0,0,0,0,0,0.62,0,0,0,0,0
 48-58,0,0,0,0,0,0.51,0,2.97,0,0,0
 84-94,0,0,0,0.59,0,0.58,0,0.83,0,0,0
 96-106,0,0,0,0,0.56,0.63,0,0,0,0,0
108-118,0,0,0,0,1.27,0.62,0.48,0,0,5.49,0.54
120,0,0,0,0,0,0,0,15.08,0,1.34,0
