stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste
  3-4,11.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.48,0,0,0,0,0,0,0
 14-21,0,1.24,8.45,0,0.82,0,0,1.16,0,0.82,0,0,0,0,0,3.2,0,0,2.99,1.31,0,6.69,0
 24-34,0,0,7.6,1.21,0,0,0,0,0.67,1.13,0.64,1.59,0,1.24,0,15.7,11.1,2.98,5.82,0,0.83,26.66,0
 36-46,0,0,1.59,0,0,0.94,0,0,0,0.74,0,0,0,6.01,0,8.31,26.34,1.35,24.14,0,0,40.44,0
 48-58,0,0,1.45,0,3.34,0,0,0.77,0,0,0,0,0.48,1.11,0,11.52,16.19,0.57,4.1,0,0,8.52,0
 60-70,0,0,0.63,0,0,0,0,0,0,0,0.59,1.72,0.76,2.49,0,11.81,7.78,0,3.46,0,0,12.93,0
 72-82,0,0.68,0,0,2.67,0.72,0,0,0.72,0.63,0.62,0,5.86,2.94,0,21.74,30.19,0,2.61,0,0,9.18,1.56
 84-94,0,1.2,0,0,0,0,0,0.96,0.97,2.34,0,0.58,0,2.67,2.34,14.11,23.35,0,4.98,0,0,10.59,0
 96-106,0,2.15,2.92,0,1.39,0,1.21,0,9.85,0.6,0,1.59,2.84,0,0,0.95,35.99,2.36,25.08,0,0,2.82,1.57
108-118,0,11.03,4.08,0,2,0,0,1.04,4.18,0,0.7,0,0,2.74,0,14.27,21.39,0.69,12.48,0,0,11.96,0.67
120,0,8.3,2.8,0,0,0,0,0,3.79,0,0,0,0,0,0,0,20.29,2.49,10.41,0,0,28.88,0
