stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,12.37,182.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.74,0,0,0,0,0,0
  5-6,17.99,375.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0,0,0,0
  7-9,8.91,4.3,9.87,0,0,3.5,0,0,12.76,0,0,0,0,0,226.82,0,0,0,61.97,0,0,0,0,0,0,0
 10-12,0,0,3.76,0,0,11.21,0,0,3.83,0,0,0,0,0,65.14,0,0,0,27.54,0,0,15.07,5.3,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,1.3,0,0,1.82,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,7.51,0,3.22,0,0,0,0,0,0,0,0,1.5
 36-46,0,0,0,0,0,1.22,0,0,0,0,0.6,0.66,0,0,2.63,0,0,0,0,0,0,0,0,2.71,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,1.99,0,0,0,0,0,2.76
 60-70,0,0,0,0,1.42,3.54,0.64,0,0,0,0,0,1.99,1.54,1.5,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,6.39,8.35,0.76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,4.38,1.52,0,0,0,0,0,0,2.31,0,1.69,0.57,0,0,0,1.62,0,0,0,0,0,0.84
 96-106,0,0,0,0,0,0.97,0,0.59,0,0,0,0,0,0,0,0,0,1.16,0,0.67,0,0,0,1.13,0,1.44
108-118,0,0,0,1.66,0,0,0,1.59,0,1.41,0,0,0.44,0,0.78,0,0,0,0,1.69,0,0,0,0,0.54,0
120,0,0,0,0,0,0,0,0,0,5.69,0,0,0,1.06,2.75,0,0,2.34,0,0,0,0,0,0,0,0
