stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,128.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0,0
  5-6,41.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.63,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,28.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.17,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.14,2.55,0,0,0,0,0,1.89,0,0,0,0,1.11,0,0,0,0,1.65,0,0,0,48.79,0,0,0,0,0.9,1.49,0,36.91,0,0,0,0,0
 24-34,0,1.41,0,3.9,0,4.17,0,0,0,2.53,0,0,0,0,4.27,0,0,0,1.61,6.9,0,0,0,175.98,0,3.01,1.57,3.05,0,0,0,114.43,0,0,1.11,0,0
 36-46,0,5,0,2.06,0,16.03,0,0,0,27.15,0,0,0,0,0.71,0,0,0,0,1.76,0,0,0,440.32,0,5.08,2.49,1.56,0,0,0,196.35,0,0,0,0,0
 48-58,0,0.68,0,4.75,0,59.66,0.51,0,0,57.11,0,0,0,0,0,0,0,2.77,0,6.55,3.49,0,1.53,902.13,0,2.56,12.85,7.96,0,0,0.38,234.02,0,0,1.64,0,1.99
 60-70,0,0.57,0,6.85,0.6,176.97,0,0,8.91,55.15,0,0,0.88,0,0.59,0,0,6.57,4.47,19.1,2.53,0,10.27,2277.05,7.37,3.83,6.4,2.54,0,0,0,287.19,0,1,0.84,0,5.5
 72-82,0,1.69,0,5.46,8.99,446.53,7.1,0,0.87,59.88,2.46,0.99,0,0,0.66,2.96,0,0,0,65.9,6.57,0.87,4.43,2675.19,0,5.8,17.64,3.92,0,0,0,242.35,2.04,0,3.96,0.56,31.53
 84-94,0,0,0,14.68,0.83,353.12,0,0,8.01,78.75,3.23,0,1.27,2.46,1.16,0.67,0,2.4,0,47.59,0,0,0.86,1953.28,0.65,6.35,9.14,1.15,0,0,0,152.26,0,0,6.47,0,0
 96-106,0,0,0,23.16,6.97,289.37,0,2.06,0,105.1,0,0,0.61,0.62,1.23,0,0.77,14.41,0,45.8,15.23,0,1.63,1898.27,0.62,8.25,11.39,9.66,0,0,0,114.3,1.13,0,2.1,0,0
108-118,0,0.57,0,13.3,3.83,305.71,0,0,0.73,95.61,0.58,0,0.69,2.37,2.84,0,0,0,0,30.41,0.51,1.24,0.76,2726.02,0,8.81,13.26,11.61,0,0,0,69.94,0.68,0,1.83,0,0
120,0,0,0,33.8,2.29,418.89,0,0,0,218.5,1.46,0,0,3.34,1.72,0,5.7,0,0,13.06,0,8.98,0,4366.76,0,12.03,30.61,3.62,0,0,0,111.62,6.74,0,1.1,0,0
