stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.45,0,0,0,0,0,0,0,0,3.59,0,0,0,0,0
 24-34,1.65,0.62,181.91,0,3.52,0,42.33,0,0,0,0,0,0,0,0,4.37,0,0,3589.18,1.23,1.89,0,0,2.2,0,1.7,1.44,433.52,0,0,0.7,0,0
 36-46,3.15,0,1499.78,0,0,1.1,727.74,0,0,0.88,2.17,0,0.67,0,0,24.47,0.89,5.94,7817.83,0,1.03,3.93,0,15.61,0,0,0,1986.17,0,0,2.43,0,0
 48-58,10.76,2.12,2102.49,1.27,0.54,0.42,1311.19,0,0.37,0,7.05,0,0.75,0,3.13,28.21,5.01,4.78,5903.3,5.31,0.95,0,0,10.75,0,0,0,2271.21,0,0.64,5.42,0,3.41
 60-70,0.96,2.84,1131.75,0,0,0.63,858.22,0,0,0.77,0,21.69,0,0,0,13.41,0.69,0,2179.09,0,0,0.78,0,6.42,0,0,0,626.26,0,0,0,0,4.89
 72-82,10.26,0,710.84,0.75,0,3.13,555.43,2.69,0,0,0,0.57,0,0,0,15.91,0,4.23,1601.82,0,1.88,8.5,0,5.39,0,0,0,202.25,3.98,1.62,7.79,0,11.54
 84-94,8.98,1.77,520.07,0,0,1.21,417.78,0,0,0,2.02,4.23,0,0,0,26.24,1.41,0.69,1095.11,0.9,0.99,0.87,0,0.67,1.19,0.69,0,176.33,0,1.9,0.91,0.63,0
 96-106,15.12,13.62,403.99,0,0,0,379.87,0.76,0,0.73,0,0.99,0,0,0,17.3,0,0,889.34,2.6,0,0,1.61,0,0,0,0,83.16,0,1.01,6.34,1.86,0
108-118,11.92,0,444.16,0,0,0,525.98,0.8,0,0,2.94,0,0,0,0,12.4,0,0,1473.02,0,1.52,1.01,0,3.28,0,0,0,57.15,0,0,0.55,0,0
120,16.47,3.14,336.31,0,0,0,682.86,0,0,0,0,0,2.13,3.99,0,18.45,0,0,1206.2,0,2.9,5.57,0,6.82,0,0,0,31.86,0,0,2.42,0,0
