stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,6.56,40.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.28,0,0,0,0,3.2,0,0,0,0,0,13.79,0,0,0,0,0,0,0,0,0,0,13.56,8.74,0,0,4.04,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,14.2,0,0,0,0,0,17.08,0,0,0,0,0,3.73,0,0,0,0,29.78,17.74,0,0,73.42,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.03,0,0,6.41,0,0,0,2.29,0,2.19,2.46,0,0,0,0,0.86,1.7,0,0,6.3,25.92,0,0,0,0,0,1.35,10.66,0,0,17.32,5.19,0,0,0
 24-34,0,0,0.85,0,0,3.95,0,1.2,0,0,0,0,0,0,0,0,0,5.42,0,0,0,2.32,21.18,0,0,0,0,0,6.24,0,1.6,0,1.96,0,0,0,0.76
 36-46,0,0,0,0,0,2.97,1.65,0,0,1.34,0,0,0,0,0,0,0,8.59,0,0,0,0,11.66,0,0,0,0,0,1.27,0,0,5.89,0,1.07,0,0,7.49
 48-58,0,0,0,0,0,7.7,0,0,0,0.41,0,0,0.69,0,0,0,0,0,3.03,0.46,0,0,7.7,0,0,1.67,0,0,0.56,0,0,2.5,0,2.33,0,0,0
 60-70,0,0,0.71,0,0,28,0,0,0,3.01,2.04,0,0,0,0,0,0,0,0.64,0,0,0,12.72,0,0,0,0,0,0,0,0,0,0,3,0,0,5.08
 72-82,0,0,0,1.89,0,17.29,23.32,0,0.67,3.74,0,0,0,0,146.08,0,0,0,3.31,0,0,0,8.46,0,0,0,0,0,0,0,0,0,0,1.33,0,0,0
 84-94,0,0,1.46,0,0,9.69,0,0,1.89,2.93,0,2.66,0,1.16,192.28,0.73,0.89,0,2.2,0,0.8,0,0.66,0,0.65,0,0,0,0,0,0,0,0,1.52,5.36,5.98,0
 96-106,0,0,1.92,2.96,0,31.81,0,1.63,0,5.2,0,0,0,1.24,8.63,0.73,0,0,6.83,0,0,0.68,9.58,0,0,0,0,0,2.75,0,0,0,0,0,0,1.71,0
108-118,0,0,2.42,0,0.7,28.35,0,1.32,0,3.44,0,0,0,0,226.75,0,0,0.43,18.59,0,0,0.46,13.74,0,0,0,0,0,0.86,0,0,0,0,0,0,0,1.25
120,0,0,13.12,0,2.02,18.48,0,0,0,0,2.68,0,0,1.68,442.34,0,0,0,26.3,1.05,0,1.79,35.69,0,0,0,0,5.5,1.32,0,0,0,0,1.64,0,0,0
