stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,periderm,spinal.cord,vasculature,xanthophores
  3-4,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 24-34,0,1.25,0,139.99,0.66,0,0,0,0,0,3.11,0,4.21,0,0,0,25.02,0,0,0,3.52,0,0
 36-46,0,0,0,760.15,0.57,0,0,0,0,0,0,3.95,3.82,0,0,0,54.34,0,0,1.94,8.81,5.85,0
 48-58,0,2.25,0,538.28,0,0.85,0,0,1.34,0,0,0,3.71,0,0,2.87,38.32,2.93,3.57,4.87,7.51,0,2.36
 60-70,0,0,0,1256.89,0,10.01,0,0,0,0,0,0,4.3,0,0,0,24.83,0,0.72,2.98,4.22,0,5.92
 72-82,0,0.95,0,1058.26,7.37,4.3,0,0,0,0,0,0,6.95,0.73,0,0,25.39,0,0,0,0,2.55,0
 84-94,0,0.62,0,537.32,0,0,0.64,0,0,0,0,0,0,0,0.68,0,5.7,0,0,0.68,4.16,0,0
 96-106,0,0,0.65,191.14,0,3.35,0,0,0,0,0,0,3.04,0,0,0,0,0,0,0,0,1.21,0
108-118,0,0.42,0,331.31,2.08,1.04,0.45,0,0,0.51,0,0,4.67,0,0,0,12.08,0,0,0,0,0,0
120,0,0,0,227.47,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
