stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,10.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,22.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23,0,0,0,0,0,0,4.67,0,0,0,0
 24-34,0,0,0,0,0,1.94,0,1.11,0,0,0,4.7,0,0,38.48,0,0,0,0,0,0,17.42,0,0,0.66,0
 36-46,0,0,0,0,0,3.9,0,0,0,0,0,6.59,0,0,123.55,0,0,0,0,0,0,34.74,0,0,0,0
 48-58,0,0,0,3.07,0,10.95,2.85,0.45,0,0,2.71,6.87,0,0,271.87,0,0,0,0,0,0,47.97,0,0,7.44,0
 60-70,0,0,0.91,3.21,0,30.38,0,0.73,0,0,0,21.58,0.63,1.95,744.61,5.13,0,2.65,3.58,0,0,112.87,0,0,2.95,1.25
 72-82,0,0,0,8.37,0,62.28,0.55,3.29,0,0,0,69.44,3.09,1.81,918.46,0,0,0,0,0.64,0,116.93,0,6.37,3.42,2.46
 84-94,0,0,0,0.58,0,55.15,2.03,10.9,0,0,4.83,32.96,5.32,2.7,790.2,0,0.63,2.48,0,0,0.61,85.34,0.9,5.81,10.51,0.91
 96-106,0,0,0,2.68,12.95,84.95,0.56,9.71,0,0,3.42,52.75,8.13,0,700.25,0,0,2.91,0,0,0,45.92,0,2.06,4.94,3.95
108-118,0,0,0,12.84,0.66,75.58,0,9.74,0.51,5.15,0,45.53,7.79,0,845.66,0,0.74,2.11,0,0,0,61.2,1.13,3.58,3.8,1.93
120,0,0,0,8.8,0,119.15,0,36.89,0,7.23,0,69.13,0,0,1396.8,0,0,0,3.23,0,0,85.81,0,0,22.56,0
