stage,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,4.52,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.81,0,0,0,0,0,0,3.53,0,0,0,13.1,0,0,11.6,0,0,0,0
 14-21,1.01,4.28,0.81,6.1,0,0,0,1.23,0,0.84,45.06,0.81,1.44,0,0,0,1.34,0,0.88,16.74,0,0
 24-34,0.74,1.5,0,4.25,0,0,0,4.25,0,1.36,88.25,0,0,0,0,0,0,0,0,17.57,6.28,0
 36-46,0,0,0,2.67,3.68,0,0,5.11,0,0,100.36,0,1.86,1.36,0,0,0,0,0,19.89,0,0.81
 48-58,0,0,0,10.09,10.9,0,0.7,3.81,0,0,136.54,0,0.98,0.39,0,0,0,0,0,31.87,0,0
 60-70,0,0.9,0,30.25,11.68,0,0,5.79,0,0.72,150.41,0,0,0,0,0,0,0,0,27.53,0.75,0
 72-82,0,0,0,44.1,3.92,0,0,3.43,1.12,0,171.55,0,1.37,1.16,0,1.77,0,0,0,26.1,1.19,0
 84-94,0,0,0,14.14,2.1,0,0,9,0,0,121.22,0,0.86,0,0,0,0,0,0,12.4,0,0
 96-106,0,2.56,0,31.2,2.85,1.19,0,16.94,0,0,88.92,0,0.71,0,0,0,0,0,0,1.46,0,0
108-118,0,2.05,0,20.1,3.08,0,0,10.26,0,1.93,86.91,0,0,3.07,0,0,0,0,0,8.82,1.21,0
120,0,19.29,0,1.75,0,0,0,2.29,0,0,88.96,0,8.96,0,0,0,0,0,0,8.31,0,3.28
