stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,202.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.98,139.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.86,0,0,0,0,0,36.45,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,153.37,0,0,0,0,0,0,0,0,189.67,0,0,0,0,0,0,0,0,0,0,0,146.72,4.06,0,0,23.03,0,20.45,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,118.15,0,0,0,3.42,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,202.43,0,0,0,61.47,0,25.27,0,0,0,0,5.41,0,0,0,0,0,0
 14-21,0,0,0,0,2.14,0,0,2.16,0,0,1.09,0,0,0,0,0,0,0,2.66,0,9.32,0,0,6.29,20.49,11.42,0.96,0,1.64,0,9.95,0,5.06,0,5.5,11.1,32.3,0,0,0,0,0
 24-34,0,0,1.56,0,5.79,0,0,4.33,0,0.62,3.61,0,0,0.82,0.67,0,0,0,12.21,0,7.71,0,0,9.53,170.3,0,19.25,0,0,0,57.03,0,0,0,0,1.04,43.87,0,0,10.99,0,0
 36-46,0,0,2.56,0,0.72,0,0,16.5,3.72,0,3.51,0,0,0,27.79,7.57,0,0,0,11.37,13.79,0,0,3.36,275.14,1.86,14.76,0,0,0,76.21,0.81,0,0,1.32,0,33.63,0,0,13.98,0,0
 48-58,1.15,0,0,0,10.26,4.62,0,21.88,2.05,0,8.83,0,0,0,19.41,4.95,0.98,0.89,3.36,34.76,50.21,1,0.56,7.27,400.56,5.97,13.62,0,0,0,43.2,0,0,0.51,5.29,0,41.64,0,0.88,37.05,0,0
 60-70,0,0,0.86,0,9.44,2.92,0,55.68,0,1.77,34.57,0.63,0,0.81,17.98,0,6.7,0,0,35.92,95.43,0,15.95,5.33,503.8,12.62,5.43,1.48,0,6.23,32.23,0,0,0,0.81,0,52.66,0,5.25,35.92,0.87,12.09
 72-82,0,0,5.12,0,10.9,1.75,0.72,92.41,1.21,2.2,62.68,12.56,0,3.26,12.61,0,11.29,0,19.11,10.15,226.84,1.38,20.55,9.08,640.32,4.05,4.87,6.57,0,8.27,14.54,0,0,1.34,0,0,35.82,0,14.09,95.69,20.98,9.96
 84-94,5.55,0,15.26,0,14.03,0,0,69.63,0.69,0.95,41.21,23.08,0,5.2,14.24,1.9,0.67,1.52,42.53,41.47,162.98,4.89,28.32,13.28,449.57,6.63,7.2,8.4,0,6.04,49.27,0,0,11.75,0,0,27.79,1.14,11.25,49.1,23.4,0
 96-106,0,0,8.33,0,13.12,18.99,0,88.18,3.53,1.46,64.67,60.51,0,1.6,11.42,0,2.97,0,103.73,13.09,228.21,1.61,24.44,21.46,403.46,8.65,15.53,1.64,0,20.64,52.5,0,0,20.11,2.87,0,29.24,2.08,15.33,121.57,27.1,0
108-118,0,0,7.8,0,17.67,0,2.74,77.7,6.93,1.24,70.18,298.87,0,1.3,13.7,0,3.92,0.87,97.5,21.95,241.84,3.82,31.74,15.15,663.29,20.1,3.43,4.09,0,12.21,27.48,0,0,30.2,2.03,0,47.09,1.75,5.98,61.89,44.64,0
120,0,0,26.5,0,3.83,1.98,0,143.45,5.39,3.41,164.89,288.07,0,0,57.82,0,0,0,54.61,1.51,294.4,2.21,9.33,21.13,1068.93,5.74,21.11,0,0,46.61,17.63,0,1.12,37.28,1.21,0,68.62,2.31,19.29,37.62,70.94,0
