stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,14.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.96,0,0,0,17.25,0,0,0,0,0,0,7.22,0,0,0,0,0,0
 14-21,0,0,8.44,7.55,4.33,53.15,0,0,0,2.76,0,0,15.95,0,0,0,0,0,0,34.19,0,21.17,2880.82,0,0,3.7,0,0,0,0,9.29,1.41,3.26,28.09,280.58,0,0,11.59,0,0
 24-34,1.76,0,4.08,9.73,5.47,176.23,0,0,1.71,113.3,0,1.82,41.36,5.14,1.12,0,0.68,2.22,0,70.63,0.89,30.85,10437.83,0.66,2.95,58.76,0,4.56,10.47,0,0,3.88,0.88,9.88,1114.58,0,0,118.41,0,3.15
 36-46,0,0,0,1.37,0,110.73,0,0,2.19,914.82,0,0,33.73,0,0,10.92,0.7,4.34,0,131.83,10.23,14.23,7981.1,0.57,1.9,41.12,0,4.11,4.25,0,0,0,0,0,1074.5,0,1.37,118.41,0,0
 48-58,0,0,0,4.52,3.59,191.83,0,3.24,0,1477.21,0.4,0,29.47,0.6,0,0,0,0.63,0,157.19,0.47,5.46,3106.58,0,0.48,56.22,0,0.48,0.84,0.98,0,0,0,0,463.11,0,0.64,73.89,0,0.94
 60-70,0,0,0,3.93,2.47,165.4,1.01,2.24,6.88,955.65,0,0,10.97,0.76,0,0,2.28,0.95,0,279.91,7.61,2.53,1258.35,0,0,52.47,0,14.22,0,0,0,0,0,0,112.32,0,0.57,66.25,0,2.96
 72-82,0,0,1.12,11.39,2.7,145.69,3.11,0,12.42,764.07,1.1,0,14.89,0,0,1.15,0,0.6,0,298.15,10.05,5.89,781.88,0.56,0,121.86,0,6.92,3.15,0,0,0,0,0,47.22,2.61,11.49,97.93,13.05,8.12
 84-94,0,0,0,12.71,0,185.01,0,0.63,7.27,551.5,1.83,0,20.08,0.78,0,0,0.69,1.3,0,374.48,11.5,8.56,788.53,0,0.9,182.54,0,17.48,3.5,0,0,0,0,0,49.57,0.83,11.71,138.66,19.27,0
 96-106,2.68,0,2.88,18.72,0,155.92,1.64,5.43,20.74,700.05,2.3,0,7.53,1.91,0,4.83,2.06,13.16,0,386.82,13.75,6.56,560.02,1.43,0,127,0,33.42,2.9,0,0,0.6,0,0,58.61,0.67,6.79,213.34,27.46,1.22
108-118,0,0,2.26,14.19,2.45,128.85,0,0,11.9,776.22,0,0,7.4,1.97,0,0,0,9.03,2.16,510.36,24.1,6.75,910.09,3.35,1.91,166.46,0,19.52,2.98,0,0,0.42,0,0,19.57,1.66,1.51,175.3,6.99,4.97
120,6.17,0,0,35.16,0,157.7,0,2.55,7.39,1146.63,4.02,0,4.06,1.01,0,0,3.47,0,0,511.06,17.36,2.67,994.71,3.31,0,166.44,0,2.67,0,0,0,0,0,0,58.28,0,7.24,316.34,14.9,0
