stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06,5.46,0,0,5.9,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.93,0.95,0,0.9,0,0,0,0,0,0,0,0,0,0,0,2.47,0,0,1.07,7.95,0,0,0,0,0,0,3.31,0,0.91,6,0,0,0,0
 24-34,0,0.81,0,0,0,1.61,0,0.72,1.73,0.66,0,0.6,0,0,0,0,0,6.49,0,0,7.58,20.95,0,0,0,0,0,0,0,0,0,5.42,0,0.77,0,0
 36-46,0,0,0,0,0,4.89,0,0,1.04,0,0,0,0,0,0,0,0,11.97,0,0,0.59,20.35,0,0,0,0,0,0.79,0,0,0,3.08,0,2.22,0,0
 48-58,0,0,1.97,0,0,3.94,0,0.38,3.95,0,0,0,0,0.82,0,0,0.64,7.39,0,2.02,0.61,14.26,0,0,0,0,0,0,0,0.61,0,5.4,0,0,0,0
 60-70,0,0,0,0,0,2.46,0,0.83,1.62,0,0,0,0,0,0,0,0,8.28,0,1.28,0,8.81,0,0,0,0,0,1.22,0,0,0,1.61,0,0,0,5.46
 72-82,0.88,0,2.04,4.87,0,7.64,0,5.3,4.31,0,0,0.49,0,0,0,0,4.38,23.5,0,0.71,0,19.21,0,1.23,1.99,0,0,2.17,0,0,0,0,0,1.87,0,2.57
 84-94,0,0,1.84,15.31,0,2.66,0,0,3.3,0,0.86,2.2,0,0,0,0,0.58,15.27,1.71,3.11,3.99,16.39,0,0,0.55,0,0,4.47,0,0,0,4.89,0,0,0,0
 96-106,0,0,1.3,5.56,0,1.37,0.56,0,3.35,0,1.06,0,1.84,0.66,0,0.63,1.03,10.85,0,0,0,8.6,0,0,0,0,1.54,6.66,0,0,0,0,0,1.51,0,0
108-118,0,0,0.97,0,0.58,14.86,0,0,7.59,0,0,0.8,3.05,2.49,2.8,1.48,4,37.69,0,0.9,1.32,20.49,0,0,2.4,0,0,0,0,0,0,0,0,5.39,2.85,0
120,0,0,0,1.41,1.14,0,0,2.12,0,1.15,0,6.35,0,0,0,0,0,31.98,0,2.03,0,16.4,0,0,3.63,0,0,4.09,0,1.14,0,0,6.25,1.41,0,0
