stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,463.44,7679.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.19,0,0,0,0,0,0,0,0
  5-6,206.69,4888.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.08,0,0,0,48.7,0,63.98,0,0,0,0,0,0,0,0
  7-9,18.8,38.02,43.31,0,0,73.62,0,0,0,0,0,47.15,0,0,0,0,0,0,0,0,0,0,1019.77,28.37,0,0,194.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.99,44.78,0,5.53,64.94,0,0,0,0,0,3.53,0,0,0,0,0,0,0,0,0,0,619.61,37.84,0,0,119.72,0,0,0,13.66,0,0,0,0,0,0
 14-21,0,0,1.14,8.8,0,5.41,0,0,0,2.02,0,0,0,0,0,0,0,0,0,7.61,0,3.11,69.79,0,0,0,0.84,0,4.15,9.07,0.97,5.43,18.17,0,0,0,0
 24-34,0,0,0.64,2.87,0.62,8.22,0,0,0,1.67,1.16,0,3.45,0,0,0,0.64,0,0,5.65,0,2.81,85.26,0,0.62,0,0,0,6.04,0,0,0,21.12,0,3.7,0,0
 36-46,0,0,0,2.16,0,13.33,0,0,0,12.59,2.26,0,0,0.73,0,0,0.67,0,1.37,11.36,0.96,1.37,115.55,0,0,0,0,0,7.15,0,0,0.6,25.25,0,4.89,0,0
 48-58,0,0,0,1.46,0,10.54,0,0.45,0,12.27,0,0,0.81,0,0,0,0,5.47,0,11.32,0,0.45,34.61,6.36,0,0,0,0,0,0,0,0,12.54,0,1.5,0,0
 60-70,0,0,0,3.19,0,10.14,0,0,0,2.8,0,0,0.58,0,0,0,0,0,0,4.63,1.09,2.35,51.75,0,0,0,0,0,0.67,0,0,0,26.56,0,0.87,0,0
 72-82,0,0,0,0.68,0,5.25,0,0,0.75,4.08,0.49,0,0,0,0.83,0,0.69,0,0,9.56,0,0.51,12.83,0.73,0,0,0,0,0,0,0,0,0,0,1.55,1.25,0
 84-94,0,0,0,1.98,0,4.74,3.76,0,0,1.93,1.54,0,0,1.33,0,0,0,0,0,3.88,0,1.95,16.2,0,0,0,0,0,0,0,0,0,2.19,1.13,0,0,2.54
 96-106,0,0,0,1.53,0,11.74,0,2.29,0,0,0,0,0,4.57,0,2.25,0,0,0,2.98,0,1.81,9.53,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0
108-118,0,0,0,0.58,0,3,0,0,0,4.92,0.68,0,0,3.48,0,0,0,0,0,4.05,0,1.04,5.39,0,0.6,4.31,0,0.91,2.72,0,0.42,0,0,0,1.59,0,0
120,0,0,0,0,0,8.72,0,0,0,0,0,0,0,2.27,0,0,0,0,0,1.74,0,0,5.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
