stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,162.38,4159.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266.91,0,0,0,0,0,0,0,0,0,0
  5-6,96.09,1050.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.99,0,0,0,0,0,32.53,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.52,3.54,0,0,0,15.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.17,0,0,0,39.35,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.56,0,0,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.56,0,0,0,32.7,0,0,5.62,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,13.44,0.91,0,17.48,0,0,0,0,1.01,0,1.04,0,0.87,0,0,1.01,2.64,0,0,4.37,85.29,0,0,3.15,1.32,0,7.56,0,1.8,0,0,10.46,14.9,0,0,0,0
 24-34,0,0,4.44,0.64,0,0,26.79,0,0,0,1.62,0,0,0,1.45,0,0,0,1.92,4.83,0.63,0,1.8,124.28,0,6.3,0.98,0,0,0,0,0,0,0,0.69,18.81,0,5.07,0,0.91
 36-46,0,0,0,0.69,0,0,27.25,0,0,0,1.89,0.66,0,0,0,0,1.61,1.29,3.69,5.44,0,1.06,1.24,139.93,0,8.74,7.38,7.09,0,2.77,0,0,0,0,0.83,35.6,0,3.68,0,0
 48-58,0,0,0,3.33,0,0,65.36,0,0,0,8.67,0,3.4,0.38,4.54,4.83,0,0,1.14,8.42,0,1.25,3.97,144.6,0,5.48,3.15,0,0,2.84,0,0,0,0,0,23.53,0,1.77,0,0
 60-70,0,0,0,3.15,0.67,0,67.06,0,0,0,7.25,0,4,3.3,0.61,0,0,0,0,12.56,0,0.65,0.63,79.62,0.71,8.12,6.54,0,0,3.1,0,0,0.58,0,0,5.69,0,8.69,0,0
 72-82,0,0,0,2.96,2.59,0,77.4,0,0,0,16.38,0,0,1.14,1.86,0,0,0,0.87,15.23,1.84,0,0,168.5,0,5.39,0.59,0,0,0.62,0,0,0,0,0,28.22,0.52,7.32,0,0
 84-94,0,0,0,4.09,10.92,0,81.92,0,0,0.67,10.56,1.63,0.64,5.47,3.04,0,0,0,1.8,20.66,21.01,0.93,1.26,127.32,0,4.57,0,0,2.48,0,0,0,0,0,0,21.81,0,5.48,0,0
 96-106,0,0,0,10.27,39.14,0,51.82,0,0,0,13.82,3.08,0,4.36,4.66,0,0,4.03,0,20.72,1.27,0,0,133.22,0,4.62,3.22,0,0,4.44,0,0,0,0,0,28.02,0.89,16.76,1.12,0
108-118,0,0,0,9.96,4.8,0.56,27.14,1.5,1.79,1.74,26.82,7.77,0,6.66,12.93,1.93,0,0,0.78,22.26,1.62,0,1.21,198.4,0,4.28,1.99,0,0,8.77,0,0,0,0.47,0,22.15,0,13.99,0,1.98
120,0,0,0,14.88,20.55,0,27.3,1.18,0,0,15.76,7.57,0,22.3,9,1.58,0,0,0,65.78,0,0,15.15,269.64,0,1.09,1.12,0,0,15.9,1.53,0,1.02,0,0,0,0,16.97,0,0
