stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,7.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.04,0,0,0,5.23,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.32,14.65,0,0,45.62,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.94,0.87,0,0,0,0,0,0,0,0,0,0,1.79,0,0,0,0,0,0,0,0,8.26,0,5.23,0,0,0,29.86,0,1.17,0,1.94,0,4.81,0,0,0,0,0
 24-34,0,0.75,0.79,0,0,0.62,0,0,0,0,0.63,0,0,0,8.52,0,0.6,0,0,2.99,3.8,0,0.64,59.02,0,1.42,10.12,0,0,97.62,0,0,0,2.79,2.5,37.49,0,0,4.23,0,0
 36-46,0,0,0,0,0,8.93,1.88,0,0,0.84,0,1.18,0.89,0.94,33.15,0,1.23,0,17.4,8.69,7.27,0,4.67,258.97,10.93,12.39,29.47,0,0,157.49,0,0,0,10.24,0,47.41,0,0,4.78,0,11.04
 48-58,0,0,10.02,0,0,51.69,2.01,0.44,0,4.33,4.66,6.84,0,4.27,0.91,0,2.9,0,4.19,15.52,12.14,0,1.61,436.62,0.45,3.27,18.83,0,0,127.07,0,0,0.61,6.69,0,56,0,0,0.41,0,1.68
 60-70,0,0,11.25,0,0,262.77,5.06,6.58,0,13.08,4.68,6.53,0.76,0,1.81,0,8.17,0,0,27.4,14.1,1.28,3.22,719.11,0,8.72,36.01,0,0.63,116,0,0,0,11.46,0,87.09,0,0,0,0,17.13
 72-82,0,0,8.61,0,0,682.56,0.5,2.2,1.73,17,8.12,1.53,0,0,8.04,0,16.86,0,0,35,17.03,1.81,0,846.97,0,12.74,34.68,0,2.01,101.37,0,0,0,1.58,0,85.54,0,0,7.84,0,0
 84-94,0,0,32.43,0,0,559.98,1.42,2.07,0,53.15,4.95,0.7,0,3.73,6.01,0.61,4.59,0.57,5.22,8.46,21.29,3.56,2.5,497.23,0,5.23,54.19,0,0,255.46,0,0,3.56,5.03,0,51.19,0.66,0,0,4.29,0
 96-106,0,0.81,40.04,4.17,0,750.16,12.14,4.26,6,33.43,23.59,0,2.51,1.61,8.9,0,16.49,0,0,35.76,23.98,4.49,1.95,512.78,0,18.71,56.12,0,0,263.77,2.06,0,0.92,2.75,0,42.91,6.6,0,2.06,0,12.87
108-118,0,1.75,49.79,0,0.58,575.79,10.7,3.03,1.27,41.79,32.16,2.74,1.78,1.27,12.48,0,8.13,0.46,2.61,60.79,13.55,1.48,6.47,559.21,0,10.67,52.63,0,0,217.27,0,0,1.87,4.73,0,17.45,9.94,0,0,0.57,0.95
120,0,0,95.99,0,5.29,713.28,13.45,9.05,0,74.83,38.99,0,0,3.53,12.31,0,19.82,0,0,98.88,18.34,8.98,5.77,1163.79,2.33,38.26,149.06,0,0,149.41,0,0,4.05,1.22,0,56.86,10.12,18.9,0,0,0
