stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0
 10-12,6.72,0,0,0,0,7.29,0,0,0,0,0,0,0,0,0,4.49,0,0,4.45,5.07,0,0,0
 14-21,0,1.07,0,0,0,0,0,0,0,0.81,0,1.47,0,0,0,3.59,0,0,0,0,8.06,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,2.43,0,0,0,0,23.23,0,0,0,1.33,9.46,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.43,0,0,0,0,14.49,0,0
 48-58,0,0.46,0,0,0,0.91,0,0,0.44,0,0,1.08,0,0,0,61.16,0,0,0,0,15.52,0,0
 60-70,0,0,0,0,0,1.94,2.75,0.94,1.26,0,0,0,1.27,0,0.9,114.49,2.02,0,0,0,6.32,0,2.16
 72-82,0,1.99,1.62,0,0,23.69,0,0,0,1.31,0,1.86,0.67,0,0,155.08,0,0,0,0,16.46,0,3.33
 84-94,0,0,0,0,0,3.68,0,0,1.38,0,0,3.48,0,0.55,3.42,138.55,0,0,0,0.72,1.33,0,0
 96-106,0,1.53,3.88,0,0.6,15.32,0,0,4.73,0,0,18.48,0,0,0,203.8,0,0,0,0,18.75,1.8,3.59
108-118,0,4.82,0,4.37,0,8.81,0,0,0,0.62,0,6.39,2.13,0,0.44,178.01,0,0,0,0.59,7.17,0,3.18
120,0,11.43,0,0,0,34.33,0,0,9,2.56,0,3.57,0,13.19,0,188.33,0,2.34,0,0,26.33,0,0
