stage,axial,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vasculature
  5-6,6.87,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,1.93,0,0.92,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.07,4.37,0,0,0,0,3.73,0.62,0,0.84
 36-46,0,0,0.92,0,0,0,0,0,0,0,0,0,0,3.41,2.29,0,0,0,26.18,0,1.14,0
 48-58,0,0,0.73,1.45,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,11.86,0,0,0
 60-70,0,0,0,0,0,0,1.1,0,0,0,2.27,0,0,0,0,0,0,0,19.62,0,0,0
 72-82,0,0,0,2.3,0,0.89,0.54,0.54,0,0,4.32,0,0,3.43,0,0,0,0,11.84,0,0,0
 84-94,0,0,0.79,0.66,0,0,0,0,0,0,2.05,0,0,0,0,0,0,0,34.81,0,0,0
 96-106,0,0,1.6,8.66,0,0,1.74,0.7,0,0,0,2.35,0,13.19,0,0,0,0,49.8,0,0,0
108-118,0,0,4.72,4.38,0.79,0.74,0,0,0.55,0.64,0,0,0.7,2.17,0,2.94,0,5.55,49.06,0,0,0
120,0,0,2.16,0,0,0,0,0,0,0,9.85,8.94,0,12.42,0,0,0,0,20.59,0,0,1.84
