stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0.83,67.44,3.1,0,50.3,0,0,0,0,1.08,0,0,0,0,0,0,0,41.33,12.96,0,0,3.04,1372.71,2.47,0,0,13.75,0,0,6.13,0.86,135.84,0,3.51,367.08,0,0,0,0,1.34
 24-34,0,0,0,100.78,0.92,0,30.76,0,0,1.87,3.38,0,0,0,0,0,0.63,0.82,0,31.53,83.5,0,0,0,2612.66,0,1.31,2.4,0,0,1.03,0,0,39.92,0,5.63,311.3,0,0,2.15,0,0
 36-46,0,0,0,71.39,0,0,474.35,0,4.39,3.74,26.31,0.59,0,0,0,0,0,0.84,0,4.04,163.36,0,0,4.82,9275.05,0,2.11,4.89,0,1.69,6.03,0,0,12.6,0,0,527.63,0,0,10.29,0,8.52
 48-58,0,0,0,107.56,2.38,0,3265.19,25.38,1.39,1.1,128.99,0,1.58,0.9,3.64,12.03,16.49,0.86,7.28,13.09,243.09,1.47,9.18,17.37,14413.72,0,8.68,1.99,0,0.61,6.87,0,0,4.43,3.92,0,528.02,0,0,4.3,0,19.32
 60-70,0,0,0,94.22,3.31,0,7001.28,0,0.69,11.97,68.88,0,2,2.47,13.52,0,8.1,4.85,8.95,0.72,279.54,1.43,8.77,3.87,15761.01,9.98,1.69,6.78,0,19.02,16.93,0,0,8.81,0,0,168.07,0,0,9.67,0.89,33.36
 72-82,0,0,0,78.82,13.36,0,5405.7,0,3.77,7.07,145.68,3.29,0,1.26,3.7,0,3.11,3.16,1.54,4.44,372.65,0,0,14.83,10172.6,0,4.59,10.71,0,6.31,6.67,0,0,4.92,1.5,0,53.76,0,16.83,18.15,8.09,25.51
 84-94,0,0,0,123.91,12.07,21.38,3694.47,1.26,1.24,16.38,117.47,1.75,0,1.5,0,0,9.77,1.41,0,11.06,315.53,0.91,15.6,9.43,5464.95,0.73,3.48,6.22,0,38.44,9.14,0,0,18.86,0.95,0,90.03,8.22,4.41,3.17,0.64,10.99
 96-106,0,0,1.03,87.07,41.34,0,3001.47,15.89,3.83,11.66,126.44,2.48,0,7.41,2.66,0,11.87,0,7.84,0,302.89,4.34,5.37,4.24,4106.88,0.62,2,5.8,0,19.92,25.13,0,0,18.65,0,0,15.53,0,4.38,11.17,0,0.69
108-118,0,1.7,0,60.6,23.01,0,2538.87,1,0,6.75,127.77,5.25,0,0,7.5,0,0,0,6.01,0,371.25,8.37,6.68,13.77,6003.11,6.81,2.8,0,0,23.76,10.79,0,0,12.02,0,0,0,1.13,0,6.41,3.82,3.26
120,2.37,0,0,101.51,13.9,40.62,2428.19,0,4.64,0,183.91,0,0,0,1.85,3.3,1.17,0,16.11,0,313.88,1.05,0,6.28,6064.96,6.55,0,2.1,0,0,10.63,0,0,16.25,0,0,28.53,0,0,11.31,0,5.19
