stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching.gland,neural,notochord,paraxial.mesoderm,periderm
  3-4,17.01,14.02,0,0,0,0,0,0,0,0
  5-6,0,312.18,0,0,0,0,0,0,10.04,17.11
  7-9,0,5.87,13.54,0,51.27,7.9,381.2,0,112.14,0
 10-12,0,0,7.86,34.5,31.11,0,293.91,9.02,67.69,0
