stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.41,0,0,4.03,0,0,6.77,0,0,0,0,0,0,0,0,0,0,0,0,32.17,0,0,0,13.77,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0,0,0,59.05,0,0,0,25.1,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,4.87,0,0,0,1.09,1.76,0,0,0,0,0.96,0,0,0.9,7.04,0,0,0,0,0,0,1.43,2.17,0,76.29,0
 24-34,0,0,0,0,1.42,8.28,9.95,0,0,0,21.67,0,0.63,0,0,6.36,0,2.43,4.05,26.06,0.67,0,0,0,0,1.07,0,4.43,0,572.97,0
 36-46,0,0,0,0,0.57,0,5.89,0,0,1.56,30.05,1.07,0,0,1.09,29.82,0,1.66,0,31.81,1.84,0.79,0,0,0,0,0,4.68,0,590.95,0
 48-58,0,0,0,0,0,14.24,17.28,0,0,0,19.64,17.72,0,0,0,18.55,0.53,3.34,0,35.54,0,0,0,0,0,0,0,5.46,0,501.83,0
 60-70,0,0,0,0,3.26,5.93,5.96,0,0,3.19,7.15,53.16,0,0,0,21.79,0,5.43,0.93,53.2,0,0,0,0,0,0,8.3,3.19,0,539.2,0
 72-82,0,0,0.79,0,0,18.44,16.16,0.9,0,6.56,11.88,55.24,0.66,0,0,19.93,0,4.43,3.34,32.1,0,0,0,0,0,0,0,3.33,0,786.57,3.41
 84-94,0,0,0,0,2.09,0,9.56,0,0.75,0.64,8.8,71.18,0,0,0,15.39,0,1.91,0,8.1,0,0,0,0,0,0,0,1.58,0,723.66,0
 96-106,0,0,0,0,0,14.83,6.56,0,5.21,0,7.39,63.24,0,0,0,13.19,0,4.9,0,74.81,4.18,0.81,0,0,2.63,0,1.01,4.94,0,884.25,0
108-118,3.02,0,0,0,1.21,0.42,14.73,0,0,7.07,1.27,68.04,1.25,0.51,0,22.66,2.35,5.12,0,55.92,0,0,1.16,0,0,2.11,2,0,0,856.82,1.03
120,0,0,0,0,0,0,0,0,0,0,8.75,135.14,0,0,0,22.37,0,0,0,44.49,0,0,0,0,0,13.64,0,0,3.84,864.94,0
