stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.7,895.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.78,0,0,0,0,0,0,0,0,0,0
  5-6,149.84,1894.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.48,7.03,0,0,21.17,0,6.92,0,0,0,0,0,0,0,0,0,0
  7-9,85.44,26.67,0,106.9,0,0,0,143.27,0,0,0,0,108.85,0,0,0,0,0,0,0,0,0,0,0,1467.8,77.65,0,0,546.64,0,0,13.92,0,0,0,0,0,0,0,0,0
 10-12,0,87.83,0,121.37,0,0,0,168.03,0,0,0,0,20.27,0,0,0,0,0,0,0,0,0,0,0,1866.21,75.95,0,0,723.58,0,0,3.03,10.67,106.31,0,0,0,0,0,0,0
 14-21,0.89,1.36,0,8.34,113.51,36.69,0,49.13,0,0,24.3,2.91,2.9,2.53,2.27,21.81,0.87,0,0,0,98.74,0,0,64.49,773.1,39.02,1.8,11.2,30.75,0,16.06,6.52,200.89,5.65,117.22,267.21,0,0,3.87,0,0
 24-34,0,0,0,0,18.96,4.96,0,84.26,0,0.97,9.79,2.9,0,2.9,4.95,4.59,1.45,2.4,0,0,136.01,0,0,44.85,600.6,10.67,8.05,6.09,0,0,21.06,0,0,3.04,14.02,118.45,0,0,19.43,0,0.78
 36-46,0,0,0,0,9.23,0,0,178.47,0,3.85,7.73,0.57,0,0.88,0.94,0.57,1.13,0.77,3.86,1.38,86.59,0.56,0.77,49.34,314.42,0.92,3.92,1.19,0,0,19.52,0,0,2.76,0,75.79,0,0,9.39,0,10.78
 48-58,0,0,0,0.51,13.43,2.52,0,219.15,0,1.39,23.32,0.39,0,1.71,6.81,1.06,1.21,0,0.37,0,99.31,0.42,4.96,13.72,175.12,0,0.43,6.47,0,0,2.78,0,0,0,0,40.46,0,0,6.02,0,8.39
 60-70,0,0,0,0,30.95,3.97,0,135.29,1.01,0,22.41,1.33,0,0,0,0,0,1.03,0.87,0,94.01,0,4.07,18.17,137.41,0.88,2.83,9.72,0,0.71,11.51,0,0,1.82,0,9.33,0,0,10.97,0,9.17
 72-82,0,0,0,0,6.48,0.58,1.22,69.41,0,0,25.13,3.8,0,0.55,0,4.1,0,0.51,7.19,0.49,87.17,1.12,3.85,9.24,77.84,1.29,4.85,5.84,0,1.79,0,0,0,0,0,9.05,0,1.68,10.83,0,1.1
 84-94,0,0,1.2,1,16.19,0.83,1.57,71.27,0.61,2.69,16.98,4.78,0,0,2.95,0.83,1.37,1.1,4.29,4.83,74.51,0,12.66,14.4,53.07,1.58,2,3.71,0,2.02,0,0,0,4.26,0,6.76,0.57,1.11,6.52,0,0
 96-106,0,0,0,0,5.16,0,0,34.53,0,0,25.06,6.3,0,0.97,2.2,0.59,0.89,1.38,4.1,0,48.2,0.71,2.33,3.64,84.5,0,3.36,2.96,0,0,0.63,0.7,0,1.58,0,3.3,0,0.77,9.39,0.68,11.87
108-118,0,0,0,0,7.29,1.85,0.46,50.28,0,4.27,31.24,2.49,0,0,5.98,1.19,2.12,0.87,16.77,0,35.75,0,3.2,6.05,99.32,0.48,2.19,2.48,0,0,1.87,0.79,0,1.39,0,1.92,0,0,6.48,0,0
120,0,0,0,0,12.52,4.12,1.61,49.97,0,0,29.33,0,0,0,1.75,0,1.59,0,1.4,0,21.93,0,14.09,4.95,99.01,1.1,1.45,1.84,0,0,2.18,0,0,0,0,3.82,0,0,7.08,0,0
