stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,9.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77,0,8.29,0,0,0,0
 10-12,0,6.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.96,0,3.93,0,0,0,0
 14-21,0,0,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,1.09
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.83,0,1.04,0,0,0,0.99,0,0,0.72
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,11.42,1.42,0,0,2.03,0,0
 48-58,0,0,0,0,3.56,0,0,0,0,0,0,0.42,0,1.31,0,0,7.34,0,0,1.02,1.07,0,0
 60-70,0,0,0.71,0.66,16.18,0,0,1.47,0,0,3.43,0,8.49,1.65,3.88,0,16.62,0,0,7.63,2.11,0,0
 72-82,0,0,2.24,1.32,18.57,0.5,0.94,0.73,0,0,0,1.35,1.81,4.12,0,0,7.39,0,0,1.35,0,0,1.88
 84-94,0,0,1.23,8.89,3.69,0,0,0,0,0,4.32,0,4.77,0,0,2.08,10.23,3.38,0,2.16,0,0,0
 96-106,0,0,2.65,0,8.35,1,0,0.72,0.61,0,0,0,0,8.6,0,1.08,2.64,0,0,3.13,0,0.79,2.73
108-118,0,0,0.79,2.38,3.11,0.89,0,1.1,0,0,0,0,5.3,5.22,0,1.35,11.87,0.96,0,4.39,0,0,0.48
120,0,0,3,4.36,0,1.45,0,0,0,5.73,0,0,0,15.7,0,0,5.08,0,0,1.78,0,0,0
