stage,epidermis,eye,glial,heart,melanocytes,mesenchyme,muscle,neural,notochord,otic,spinal.cord,vasculature
 14-21,0.85,0,0,0,0,0,0,4.61,0,0,0,0
 24-34,0,0,0,0,0,0,0,4.81,0,0,0.67,0
 36-46,0,4.96,0,0,0,0,0.94,12.52,0,0.65,0.73,1.79
 48-58,0,20.81,0,0,0,0.41,0,18.54,6.45,0,2.97,0
 60-70,0,46.81,0.98,0,0,0.99,0,27.37,0,0,0,0
 72-82,0,21.7,0,1.08,0,2.05,0,88.05,0,0,1.43,0
 84-94,0,16.06,5.48,0,0,3.14,0,61.71,0,0,0,0
 96-106,0,6.8,2,0,0,0,0,45.6,0,0,1.43,0
108-118,1.35,7.59,1.54,0,0,0,0,68.86,0,0,0,0
120,0,0,0,0,1.45,12.56,0,114.89,0,0,0,0
