stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,xanthophores
  5-6,7.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,10.56,0,0,7.84,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,27.39,9.28,0,4.84,0,5.34,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.84,1.18,1.08,0,0,1.42,0,2.21,0,0
 24-34,0,0.67,0,0,0,0,0,0,0,0.66,0,2.17,1.38,0.75,0,0,1.44,0,0,0,0
 36-46,0,0,0,5.45,0,0,0,0,0,0,2.71,0,6.15,0,0.9,0,3.36,0,2.56,0.71,0
 48-58,0,0,0,0.92,0,0,0.88,0,0,0,6.99,1.13,5.33,0,0,0,2.77,0,0,0,0
 60-70,0,0,0,0.7,0,0,3.44,0,1.14,0,2.48,0.9,2.26,0,0,0,1.9,0,0,0,0
 72-82,0,0,1.15,0.65,0,0,2.92,0.6,0,0,3.07,0,1.73,0,0,0,0,0,0,0,0
 84-94,0,1.11,0,0,0,0,14.54,1.49,1.05,0,3.14,0,6.41,0,0,0,0,0,0,0.66,0
 96-106,0,0,0,1,0,0,3.98,1.21,0,0,1.58,0,1.25,0,0,0,2.82,0,0,1.12,0
108-118,0,0,0,2.16,0.78,0.43,1.59,0.61,0,0,3.07,0,0,0,0,0,0,0,0,0,0.65
120,0,0,0,0,0,0,0,0,0,0,0,0,13.95,6.26,0,0,1.45,0,0,0,0
