stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,29.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.13,0,0,0,11.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.16,0,0,0,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.05,0,5.23,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.07,14.8,0,0,64.69,0,0,0,0,13.34,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.67,8.89,9.95,0,9.68,1,0,1.94,3.36,0,2.32,0,0,0,0,0,0,9.17,0,0,13.06,71.76,0,0.98,0.93,0.83,0,31.35,0.9,4.96,0,0,8.34,46.26,0,0,4.17,0,0
 24-34,0,0,0.84,1.03,7.89,0,0,5.48,0.8,0,5.59,0,1.4,0,0,2.18,0,0,1.53,0,25.85,0,0,12.66,169.95,0,1.76,1.76,0,0.99,74.55,0,0,0,0,3.18,57.01,0,0,7.13,0,0.69
 36-46,0,0,0,0,1.97,0,0,4.51,0,0.6,8.17,0.72,0,0.88,0,3.61,0,0,1.21,1.15,22.15,1.68,3.98,1.78,191.03,0.65,1.87,0,0,0,87.52,0,0,0.78,2.31,0,71.6,0,0,5.23,0,0
 48-58,0,0,0.67,0,2.28,0,0,21.51,1.35,0.64,25.71,0.43,1.07,0.49,0,0,0,0,0,0,48.2,2.59,1.2,0.5,276.36,0,1.07,1.42,0,0,57.15,0,0,0,2.56,0,57.43,0,0,0.43,0,0
 60-70,0,0,0,0,8.71,0,0,61.54,6.37,3.24,43.74,0.88,0,0,0.98,0,0,0.77,0,0,30.25,2.41,14.79,2.34,363.61,0,0.74,0,0,0,23.67,0,0,0,0,0,41.79,0,0,1.66,0.73,3.58
 72-82,0,0,0.91,0,7.73,1.42,0,217.28,0.5,5.33,33.89,0,0.6,0,0.5,0,7.42,0.74,0,4.19,68.71,8.21,6.47,1.35,479.94,0,1.31,2.97,0,0,26.23,0,0,0,0,0,29.8,1.68,0,8.67,0,6.06
 84-94,0,0,5.29,0,48.22,1.94,0,313,7.52,0.67,27.63,3.44,2.11,0,0,4,0.62,0.6,0,8.46,32.24,2.97,2.66,0.68,315.5,0,0,1.3,0,0,78.36,0,0,0,0,0,28.02,0.83,1.74,18.53,3.2,0.76
 96-106,0,0,1.68,0,16.31,3.31,1.06,444.83,1.35,1.82,14.29,6.47,0,1,0.77,2.88,0.85,0.6,9.82,0.71,33.01,16.3,1.25,0,327.32,0,5.63,1.03,0,0.81,63.13,0,0,0.6,0,0,6.05,0,0,13.93,1.22,1.42
108-118,0,0,7.09,0,38.08,10.17,9.37,687.53,9.86,10.49,30.97,11.74,0,0,0,0,3.14,0,0.65,2.73,66.61,2.84,0.46,2.86,371.05,0.43,4.29,2.03,0,4.81,40.07,0,0,1.91,0,0,11.49,3.75,0.8,2.38,0,0.99
120,1.19,0,10.92,0,27.11,0,3.68,478.34,3.33,5.01,41.37,6.55,0,0,12.31,0,3.33,0,0,4.02,62.04,0,8.53,2.81,522.5,0,11.01,0,0,0,32.53,0,0,0,0,0,0,0,0,0,0,0
