stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02,0,0,0.82,34.37,0,0,0,0,0,0,0,0,0,2.47,0,0,0,0,0
 24-34,0,0,0,0,0,0.68,0,0,0,0.63,0,0,0,2.67,0,0,1.92,329.14,0,2.62,0,0,0,1.24,0,0,2.32,25.23,0,0,0,0,0
 36-46,0,0,0,3.3,0,3.75,0,0,0,10.64,0,0,0,4.16,0,0,5.3,576.06,0,1.13,0,0,0,0,0,0,0,44.01,0,0,0,0,0
 48-58,0,0,0,0.38,0,58.07,0.51,0,0,45.38,0,0,0,9.2,0,0,0.6,921.54,0,0,0,0,0,0.68,0,0.73,0,49.2,0,0,0.61,0,0
 60-70,0,0,0,0,0,258.04,0,0,0,91.11,4.15,0,0,15.25,0,0,0,1136.69,0,0,11.4,0,0,2.7,0,1.01,0,41.17,0,0.57,0,0,0
 72-82,0,0,0,9.16,0,426.06,0,1.14,6.33,108.71,2.76,0,0,26.41,0,0,4.93,1173.9,1.67,0,4.28,1.13,2.36,3.66,0,0,0,52.76,0,0,5.44,4.15,4.74
 84-94,0,0,1.01,12.41,0,420.78,0,1.17,0,40.19,3.53,0.64,0,27.37,0,0.82,7.49,852.67,0,0,16.82,0,0,2.1,0.74,0,0,17.54,0,0.63,0,2.44,0
 96-106,0,0.81,0,2.63,4.69,366.28,0,4.67,0,102.87,4.59,0.6,1.92,25.16,1.52,1.49,1.21,732.66,0,2.16,20.8,0,1.92,0,0,0,0,14.88,2.03,0,0,0,0
108-118,3.02,0,0.55,1.03,4.01,487.19,1.82,0,1.4,77.25,0.78,1.47,5.95,13.47,0,6.46,3.44,885.28,0,0.59,11.28,0,1.08,0.55,0,0,0,30.96,0,1.3,0,3.02,0
120,0,0,0,10.71,8.42,348.18,5.8,15.97,0,107.24,6.37,5.37,1.89,30.21,2.98,0,2.48,1490.51,1.38,0,30.28,0,0,4.26,0,0,0,14.35,0,0,0,2.7,0
