stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.81,9.57,0,0,30.5,0,0,0,0,0,0,0
 10-12,6.19,0,0,0,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,107.36,9.41,0,0,41.89,13.18,0,0,0,0,0,0
 14-21,0,0,6.35,15.84,3.06,0,0,1.06,2.43,0,2.99,0,0,0,2.14,0,0,2.74,40.87,0,0,0,0,115.77,0.89,12.96,0,0,0,0
 24-34,0,1.62,1.28,0,1.26,0,0,1.34,0.67,0.98,0.9,0,0,0,3.44,0,0,0.78,42.06,0,0,0,0,162.99,0.63,2.08,0,0,0,0
 36-46,0,0.96,13.01,0,3.82,0,0,0,0,0,2.75,0,0.77,0,5.09,3.23,0,0.78,17.37,0,0.6,0,0,174.18,0,2.43,0,3.18,0,0
 48-58,0,0,4.22,0,1.11,0,0,0.85,0,0.87,10.07,4.92,0,0,1.72,1.64,0,0,21,0,0,0,0,103.23,0,1.71,0,0.41,0,0
 60-70,0,0,7.91,0,2.93,1.88,0,0,0,0,13.88,0,0,0,1.16,0,0,0,22.96,0,0,0,0,97.49,0,6.14,0,0,0,0
 72-82,0,0,9.49,0,0,2.84,0.7,0.74,0,0.89,9.15,1.97,0,0,0.98,0,6.94,0,24.21,0,0,0,0,62.53,0,0,0,0,0.71,0
 84-94,0,0,9.66,0,0,3.91,0,1.06,0,0,16.93,0.74,3.08,0,0.95,0,0,0,2.45,0,0,0,0,155.89,0,0.75,0,0,0,5.18
 96-106,0,0,17.67,0,13.18,0.57,0,0,0,0,19.64,1.41,0,0,4.83,1.13,0,0,4.5,0,0,0.74,0,174.56,0,0,1.82,0,0,0
108-118,0,0,12.76,0,1.68,2.77,0.62,0,0,0,16.16,2.01,0,0,0.62,3.29,1.72,0,13.34,0,0.45,0,0,114.74,0,6.26,0,1.11,0,0
120,0,0,20.72,0,0,6.46,0,0,0,0,42.49,2.78,0,4.14,0,5.28,0,0,25.87,0,0,0,0,73.04,0,0,0,0,0,0
