stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,33.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.52,176.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71,14.36,0,0,0,0,0,0
  7-9,0,12.43,3.43,0,0,8.21,0,0,0,0,7.85,0,0,0,0,0,0,0,0,102.66,6.92,0,48.31,9.13,0,0,0,0,0,0
 10-12,0,0,20.52,0,0,13.44,0,0,0,0,6.38,0,0,0,0,0,0,0,0,561.25,38.55,0,171.51,5.07,0,5.97,0,0,0,0
 14-21,0,0,0,6.63,1.88,0,0,0,2.85,0,0,0,0,0,0,1.02,0,0,2,14.59,0,0,0,4.16,0.86,0,0,0.88,2.8,0
 24-34,0,0,0,1.35,0,2.94,0,0,2.05,0,0,0,1.01,0,0,2.24,0,0,1.01,24.88,0,0.97,0,6.99,0,0,0,0,7.9,3.56
 36-46,0,0,0,0,0,1.22,0,0,2.58,0,0,0,0,0,0.72,3.86,0,0,1.85,13.47,0,0,0,23.83,0,0,0,0,0,0
 48-58,0,0,0,4.23,0,19.7,0,4.81,4.58,0,0,4.15,0,0,0,9.23,0,0,2.1,78.08,0,0.47,0,6.96,0,0,0.93,0,5.49,0.44
 60-70,0,0,0,2.86,0,5.52,0,1.81,0,1.6,0,0,0,3.63,0,9.78,0,6.79,0.6,25.96,0,0,0,24.36,0,0,0,0,0,0
 72-82,0,0,0,1.84,6.38,3.46,0,0,0,0,0,0,0,0,0,10.18,0,0,0.68,5.13,0,7.08,0,7.22,0,0,0,0,1.87,2.07
 84-94,0,0,0,1.06,0,0,0,3.54,0,0,0,3.56,0.59,0,0,0.6,0.92,0,2.36,0.59,4.96,0,0,24.3,0,0.81,0,0,2.31,0
 96-106,0,0,0,0.61,0,0,0.94,0,0,0.85,0,0.96,0,0,0,3.08,1.41,0,0,1.79,0,0,0,42.92,0,0,0,0,0,4.78
108-118,0,0,0,3.6,0.66,3.53,0.42,0,1.17,0,0,0,0.43,0,0,2.7,0.43,0,1.4,7.46,0,0,0,10.16,0,0,0.93,0,0,0.54
120,0,0,0,16.99,0,18.32,0,0,0,1.88,0,12.68,2.42,0,0,51.53,2.91,0,2.16,61.57,0,5.76,0,20.63,0,0,0,0,0,2.67
