stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.44,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.57,0,0,0,5.49,0,0,0,0,4.93,0,0,0,0,0,0
 14-21,0,0.8,4.53,1.03,0,0,0,1.16,0,0.82,0,0,0,0,0,0,0.93,0,0,4.24,0,0,53.23,0,0,0,0.97,0.83,2.73,0.9,0,1.76,17.61,0,0,0,0,0
 24-34,0,0,1.17,0,0,12.33,0,0.78,0,4.14,0,0,12.28,0,0.73,0,0,0,0.62,8.86,0,0.85,123.18,2.01,0.95,1.16,0,7.46,0,6.43,0,0.66,20.64,0,0,2.55,0,0
 36-46,0,0.95,4.34,0,0,14.74,0,1.75,0,11,0,0,0,0,15.76,0.94,0,0.57,10.57,12.61,0,3,189.66,0,1.09,2.99,0,10.28,0,0,0,0,27.11,0,0,0,0,0
 48-58,0,0,0,0,0,75.33,0.97,0,2.05,13.29,0,0,0,0,0,0.38,0,0.41,0,16.86,0,1.15,243.82,0.54,0,0,0,2.5,0,0.43,9.22,0,45.34,0,0,2.56,0,4.07
 60-70,0,0,6.94,0,0,71.86,0,0,0,8.74,0,0,0,0,0,0,0,0,0.93,19.65,0,0.6,228.03,0,1.65,3.91,0,6.35,0,5.7,1.25,0,26.61,0,0,2.37,0,0
 72-82,0,0,3.22,0,0,102.5,4.55,0,0,14.39,5.13,0,0,0,0.5,0,2.01,0,1.69,26.95,2.8,0,189.93,1.06,1.27,0,0,7.21,0,0,0,0,28.9,0,1.66,2.25,0,0
 84-94,0,0,8.69,0,0,84,5.15,0,0,18.92,1.01,0,0,0,1.16,0,0.63,0,0,36.76,0.66,2.12,209.51,0,10.56,0,0,22.57,0,2.69,0,0,13.52,0,1.03,8.86,0,0
 96-106,0,0,3.06,0,0,61.49,0,0.62,0,14.38,0,0,0,0.61,0.86,0,1.15,5.58,0,24.34,0.93,1.01,121.18,0.68,4.66,0.85,0,11.94,0,1.43,0,0,3.24,0,0,3.2,1.12,7.43
108-118,0,0,6.15,0,4.52,79.27,0,0,0,13.02,0.92,0,0,0.88,1.56,0,2.69,0,5.98,16.37,0,2.95,99.95,0,0,3.34,0,10.03,0,2.11,0.6,0,3.77,0.98,0,1.53,1.26,0
120,0,0,4.86,0,0,88.66,0,1.12,0,14.55,0,0,0,1.38,0,0,1.77,0,0,3.44,0,3.76,208.67,0,0,0,0,2.38,0,1.21,1.64,0,12.78,0,0,3.29,0,0
