stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,immune,iridophores,mesenchyme,muscle,neural,notochord,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,10.18,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.32,0,0,0,0.88,0,0.86,12.5,0,0,0,0
 24-34,0,0.79,0,0,0,0,0,0,0,0.79,4.09,0.68,0.74,0,0,0,0,0.83,10.36,0,1.03,0,0
 36-46,0,4.31,0,0,0,0,0,0,0,0.57,6.74,1.63,0,0,0,0,0,1.64,0.56,0,0,0,0.9
 48-58,0,3.92,3.72,0.73,0.39,0,0,0,5.04,2.8,6.63,1.08,0.41,0.97,0.56,0,0,0.46,0,0,0.53,0,5.04
 60-70,0,9.62,0,0,0,0,0,0,0,0,4.17,11.76,0,0,0,0,0,0,0,0,0.58,0,0
 72-82,0,2.6,32.36,0,0,1.78,0,0,4.18,7.5,2.13,4.36,0,0,0,0,0,0,0,0,1.41,0,1.15
 84-94,0,1.74,45.18,1.17,0.56,0,0,0,0,9.5,4.46,1.69,0.62,0,0,0,0,0,0,0,0,4.2,0
 96-106,0,2.48,25.8,0,0,6.22,1.15,0.83,0,0,2.93,10.47,0,0,0,0,0,0,0,1.88,0,2.24,0
108-118,0,7.11,20.55,0,0.96,5.55,0,0.94,0,6.23,1.76,4.41,0,0,0,0,1.91,0,0,0,0,0,2.79
120,0,0,21.15,0,2.08,12,0,0,0,9.07,3.46,31.55,0,0,0,0,0,0,0,0,0,0,0
