stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.39,0,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79,0,0,0,3.97,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.15,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0,17.58,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,5.6,3.45,0,0,0,0,0,1.45,0,0,4.42,25.66,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,6.75,10.93,0,0,3.32,0,0,0,6.71,0,2.11,1.31,56.04,0,0,0,0,0,0,4.06,0,0,0
 72-82,0,0,0,0,0,6.24,7.16,0,0,3.94,0,0,0,2.66,0,0,0.67,65.34,0,0,0,0,1.7,0,0,0,0,0.52
 84-94,0,0,0,4.6,0,6.72,3.44,0,0,0,0,0,0,4.4,0,0,3.26,38.26,0,0,0,0,3.01,1.09,0,0,0,0
 96-106,0,0,0,0,8.71,16.58,14.69,1.74,4.04,2.73,0,0,0,1.99,1.24,0,8.67,84.53,0,2,0,0,0,0,0,0,5.35,0
108-118,0,0.84,0,1.38,0,26.49,14.93,1.25,0,1.71,0,0,0.53,1.56,3.33,0.56,4.75,78.46,0.85,0,1.31,0,7.01,0,0,0,1.32,0
120,0,0,0,0,0,15.81,18.71,0,0,0,4.13,2.13,0,10.73,0,0,3.68,163.89,0,0,0,0,7.37,0,0,2.12,0,0
