stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,27.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,66.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.68,4.84,0,0,3.64,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.28,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,36.04,0,0,4.8,0,0,0,0,0,0.97,0,0,0,0,7.14,0,0.9,23.89,0,0,0,0,0,0,0.85,28.22,0,0,0,0
 24-34,0,0,8.16,0,0,7.28,0,0,0,0,0,2.46,0,0,2.64,1.19,20.09,0,0.69,67.55,0,0,0,1,0,0,0,36.55,0,0,0,0
 36-46,0,0,0,0,0,67.86,0,0,0,0.64,0,1.26,0,0,0,0,7.74,0,0,183.81,0,0,0,0,0,0,0,68.77,0,0,0,0
 48-58,0,0,0,0,0,524.86,0,0,0,3.74,0,1.28,0.68,0,0,0,7.36,5.16,0,472.67,0,0,0,0,0,0,0,73.27,0,0,0,0.63
 60-70,0,0,2.83,0,0,2906.32,12.39,0,0,25.14,0,0,0,0,0,0.66,11.68,0,5.81,474.67,0,0,0,0,0,0,0,29.08,0,0,0,0
 72-82,0,0,1.1,0,0,6630.97,0,0,31.38,87.23,0,1.94,0,0,0.57,1.53,27.08,1.32,0.55,469.13,0,1.33,2.81,0,0,0,0,53.5,0,35.68,0,4.42
 84-94,0,0,19.62,1.15,0,2283.08,0,3.5,0,64.69,0,2.41,5.21,1.56,1.07,2.5,29.37,0,3.52,286.87,0,0,0,0,0,1.3,0,2.75,1.08,4.21,0.77,0
 96-106,0,1.23,24.98,0,2.47,2520.81,0,4.65,0,43.29,2.04,5.18,0,0,0,0,29.88,0,0.69,306.58,1.23,0,0,0,0.97,7.54,0,1.89,0.56,0,0,0
108-118,0,0,53.64,0,0,2124.17,0.65,0,0,39.82,0,0,0,0,0,0.69,14.35,1.62,0,423.37,0.92,0,0,0,0,1.41,0,0,0,2.28,1.28,0
120,0,0,8,0,0,1440.95,0,0,1.58,16.64,0,0,0,0,0,0,14.75,0,5.85,404.81,0,0,1.47,0,0,0,0,50.27,0,10.04,0,0
