stage,epidermis,eye,glial,hatching.gland,mesenchyme,muscle,neural,notochord,periderm,spinal.cord
  7-9,0,0,0,0,0,0,3.73,0,0,0
 14-21,0,0,0,0,0,0,0,0.93,0,0
 24-34,0,0,0,0,1.08,0,3.52,0,0,1.24
 36-46,0,0,0,0,0,0,16.73,0,0,0
 48-58,0.55,0,0,0,1.48,0,38.45,1.38,0,0.79
 60-70,0,0,0.64,4.94,1.19,0,70.73,0,0,2.61
 72-82,0,0,0,0,0,0,50.6,0,0,0
 84-94,0,1.23,0,0,0.63,0,33.53,0,0,0
 96-106,0,1.77,0,0,0,0,75.99,1.56,0,0
108-118,0,5.1,0,0,1.04,2.85,63.88,0,1.6,0
120,0,0,5.5,0,0,0,136.07,0,0,0
