stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,60.51,307.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.2,182.95,0,0,0,0,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0
  7-9,3.24,9.37,0,0,0,14.77,0,0,3.29,0,0,0,149.93,5.34,49.36,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,34.81,5.15,19.12,0,16.55,0,16.66,0,0,0,0
 14-21,0,0,0.88,1.78,1.98,1.62,0,0,0,0,4.43,3.06,38.13,1.83,0.9,0,0,19.32,0,0.81,6.86,22.86,0
 24-34,0,0,1.57,1.68,0,2.03,0,0.8,0,0,1.42,1.87,12.7,0,0,0,0,0,0,0,3.13,2.28,1.35
 36-46,0,0,0,0,0,5.25,0,0.77,0,0,1.31,0,4.51,0,0,1.33,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,2.94,0,0,0,0,2.84,0,1.68,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.68,0,0,0,0.87,2.31,0,0.96,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,2.35,0,0,0,0.44,0,1.29,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,9.89,4.62,4.44,0,0,0,0,0,4.43,0,0,0,0,0,0,0,0,0,0
