stage,axial,blastomeres,epidermis,eye,fast.muscle,gut,iridophores,liver,mesenchyme,neural,pericytes,periderm,taste,vasculature,xanthophores
  3-4,0,21.56,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.1,24.64,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.91,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0
 72-82,0,0,0,0,0,3,0,0,2.08,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0
 96-106,0,0,0,23.25,1.46,19.52,0,0,0,0,0,0,0,0.82,0
108-118,0,0,3,1.45,0,54.51,0,0,3.4,9.46,1.83,1.96,0,0,7.71
120,0,0,0,0,0,12.95,3.65,12.36,0,0,0,0,2.24,0,0
