stage,axial,blastomeres,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,somites
  3-4,12.98,896.89,0,0,0,0,0,93.02,0
  5-6,0,341.13,0,0,0,0,0,42.68,0
  7-9,0,0,4.51,6.4,122.94,0,12.75,0,0
 10-12,0,0,5.04,135.76,33.56,5.5,45.63,0,11.64
