stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 10-12,45.3,0,0,0,24.64,0,0,0,19.52,0,0,0,0,0,0,0,0,1706.19,6.3,0,0,65.29,0,0,0,0,0,0,0
 14-21,0,0,8.08,1.23,1343.52,0,0,0,0,0,0,0.91,1.02,2.29,0,0,0,1011.38,1.23,0,0,0.89,1.01,5.65,15.89,9.83,0,0,0
 24-34,0.83,0,6.48,0,1743.39,0,0,2.28,1.4,0,0,0,0.65,9.82,0,0,1.11,609.31,0,0,0,1,1.14,0,0.93,20.53,0,0,0
 36-46,0,0,6.1,0,1436.02,0,0.77,0.99,0,0,0,31.32,0,8.36,0,0,0.59,281.21,0,1.6,0,0,4.02,2.6,0,9.55,0,0,0
 48-58,0,0,0,0,1390.56,0,0,9.4,0,0,0,0,0,7.91,0,3.66,2.5,206.79,0,0,0,0,0,0,0,12.82,0,0,1.4
 60-70,0,0,0,0,2550.76,4.82,1.68,28.06,0,0.65,0,0,0,10.92,0,0,0.68,121.32,0,0,0,0,0,0,0,1.97,0,1.1,0
 72-82,0,0.56,3.16,0.53,1954.25,0,1.75,79.55,0.67,0,0,0,0,12.58,0,0,1.19,60.81,0,0,0.71,0,0.81,0,0,6.11,0,0,0
 84-94,0,0,6.89,0,1984.17,0,1.31,64.27,0,3.43,0,0,0,7.2,0,1.03,2.18,69.37,0,0,0,0,1.09,0,0,0.58,1.08,0,0
 96-106,0,0,2.76,2.16,1313.69,0,1.52,124.06,0,3.62,0,0,0,10.67,0,0.8,1.08,33.54,0,0.57,0.64,0,5.89,0,0,0,1.15,2.15,0
108-118,0,0,1.56,8.59,1169.23,0,2.32,117.47,0,0,0.81,0,1.95,10.71,0.62,2.74,0,54.33,0,1.95,1.26,0,2.26,0,0,2.32,0,0,0
120,0,0,7.04,1.28,985.03,0,0,43.32,0,0,0,0,3.99,1.65,0,0,4.52,72.85,0,0,0,0,1.8,0,0,0,0,0,0
